symbol_family,source_count,sources,episode_count,symbol_count,symbols,first_tick,last_tick,first_timestamp_ms,last_timestamp_ms,dominant_action,action_counts,raw_action_counts,outcome_counts,best_action_counts,dominant_neuro_tone,neuro_tone_counts,dominant_temporal_state,temporal_state_counts,dominant_reflection_state,reflection_state_counts,reward_sum,avg_reward,event_reward_sum,avg_trade_readiness,avg_associative_trade,avg_observation_trade_signal,avg_observation_learning_pressure,candidate_loaded,candidate_recurrence_maturity_symbol,candidate_passive_reife_state,candidate_episodes,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,candidate_variant_capacity_rate,candidate_temporal_fragility,candidate_probe_trace,avg_sehen_form_flow,span_sehen_form_flow,avg_sehen_form_stability,span_sehen_form_stability,avg_sehen_form_change,span_sehen_form_change,avg_hoeren_energy_tone,span_hoeren_energy_tone,avg_hoeren_energy_shift,span_hoeren_energy_shift,avg_fuehlen_mcm_coherence,span_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,span_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry,span_fuehlen_mcm_asymmetry,avg_mini_recurrence_strength,span_mini_recurrence_strength,avg_mini_afterimage,span_mini_afterimage,avg_mini_time_distance,span_mini_time_distance,avg_mini_temporal_form_distance,span_mini_temporal_form_distance,avg_mini_temporal_trust_support,span_mini_temporal_trust_support,avg_mini_temporal_caution_support,span_mini_temporal_caution_support,avg_mini_focus_tone,span_mini_focus_tone,avg_mini_trust_tone,span_mini_trust_tone,avg_mini_caution_tone,span_mini_caution_tone,avg_mini_strain_tone,span_mini_strain_tone,avg_mini_relief_tone,span_mini_relief_tone,avg_mini_observation_tone,span_mini_observation_tone,avg_mini_neuro_support,span_mini_neuro_support,avg_mini_neuro_load,span_mini_neuro_load,avg_mini_neuro_balance,span_mini_neuro_balance,avg_reflection_context_carry,span_reflection_context_carry,avg_reflection_context_strain,span_reflection_context_strain,avg_reflection_context_alignment,span_reflection_context_alignment,avg_reflection_world_support,span_reflection_world_support,avg_reflection_current_support,span_reflection_current_support,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,dio_cluster_sentence
dio_0inm,10,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe23/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe23/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2,24,1,dio_0inm1zr,10,59,1771110200000000,1771167400000000,WAIT,WAIT:24,WAIT:24,NO_TRADE:24,LONG:24,observation_tone,observation_tone:24,temporal_far_return,temporal_far_return:14|temporal_first_contact:10,reflection_context_unloaded,reflection_context_unloaded:24,0.0,0.0,0.0,0.002287,0.0,0.020792,0.218497,False,,,0,0.0,0.0,0.0,0.0,,0.125078,0.080424,-1.0,0.0,-0.757372,0.087372,0.103642,0.08009,0.368831,0.118988,-0.22902,0.022425,0.217242,0.026677,-0.037959,0.030655,0.126984,0.285714,0.027942,0.0651,1.0,0.0,0.420846,0.996322,0.365472,0.644169,0.406755,0.538455,0.352202,0.155945,0.091844,0.164342,0.170254,0.151481,0.180992,0.053628,0.325214,0.063258,0.506246,0.130739,0.295346,0.131097,0.150928,0.08914,0.144417,0.219624,0.085666,0.044436,0.271765,0.040426,0.873816,0.009544,0.028884,0.043925,0.155068,0.045651,True,False,False,False,False,False,False,False,"dio_0inm: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_0h67,12,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_2,22,1,dio_0h6744j,20,44,1771106000000000,1771173200000000,WAIT,WAIT:22,WAIT:22,NO_TRADE:22,LONG:22,observation_tone,observation_tone:22,temporal_first_contact,temporal_far_return:10|temporal_first_contact:12,reflection_context_unloaded,reflection_context_unloaded:22,0.0,0.0,0.0,0.004504,0.0,0.040949,0.232131,False,,,0,0.0,0.0,0.0,0.0,,0.134023,0.039034,-1.0,0.0,-0.468882,0.06415,-0.03841,0.053914,0.087688,0.046593,-0.210755,0.015096,0.147443,0.021603,-0.019941,0.038759,0.075758,0.166667,0.015909,0.035,1.0,0.0,0.54812,0.997729,0.279545,0.617083,0.475665,0.539046,0.348096,0.151771,0.070531,0.155523,0.175604,0.153389,0.160076,0.058703,0.332446,0.064364,0.487467,0.119776,0.286157,0.125188,0.144498,0.092146,0.14166,0.217334,0.086362,0.043363,0.269434,0.041702,0.871044,0.007767,0.028332,0.043467,0.157288,0.043879,True,False,False,False,False,False,False,False,"dio_0h67: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_0q96,8,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2,22,1,dio_0q96t2k,6,54,1771101800000000,1771156200000000,WAIT,WAIT:22,WAIT:22,NO_TRADE:22,LONG:16|SHORT:6,focus_tone,focus_tone:22,temporal_far_return,temporal_far_return:14|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:22,0.0,0.0,0.0,0.01001,0.0,0.090998,0.422936,False,,,0,0.0,0.0,0.0,0.0,,-0.513513,0.042539,0.0,0.0,0.912972,0.070051,-0.017394,0.062622,0.164344,0.047048,0.391962,0.005628,0.373807,0.017504,-0.035585,0.037556,0.138528,0.285714,0.029118,0.0651,1.0,0.0,0.367099,0.997216,0.399006,0.645438,0.377818,0.538831,0.555875,0.156833,0.102659,0.172575,0.19349,0.152046,0.237603,0.058399,0.294549,0.065721,0.510224,0.135275,0.348975,0.133121,0.184929,0.091303,0.164046,0.224423,0.124055,0.047517,0.274725,0.042366,0.797232,0.011984,0.032809,0.044884,0.235577,0.051588,True,False,False,False,False,False,False,False,"dio_0q96: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_07t9,8,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_2,20,1,dio_07t9r2v,12,60,1771103600000000,1771178000000000,WAIT,WAIT:20,WAIT:20,NO_TRADE:20,LONG:20,focus_tone,focus_tone:12|observation_tone:8,temporal_far_return,temporal_far_return:12|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:20,0.0,0.0,0.0,0.01157,0.0,0.105184,0.401076,False,,,0,0.0,0.0,0.0,0.0,,-0.542687,0.030156,0.0,0.0,0.542843,0.046208,-0.402107,0.03491,-0.983401,0.061181,0.28741,0.009775,0.483668,0.02238,-0.370302,0.023225,0.12381,0.285714,0.02552,0.0651,1.0,0.0,0.404095,0.995487,0.374035,0.644435,0.39772,0.538105,0.513272,0.155717,0.096765,0.171825,0.221091,0.151325,0.281862,0.057312,0.268074,0.064925,0.50447,0.131979,0.327888,0.132703,0.215662,0.090654,0.112226,0.223076,0.113478,0.045508,0.287688,0.041569,0.800292,0.010814,0.023609,0.041081,0.223317,0.050918,True,False,False,False,False,False,False,False,"dio_07t9: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_12dn,12,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_2,20,1,dio_12dnns3,11,59,1771110500000000,1771177700000000,WAIT,WAIT:20,WAIT:20,NO_TRADE:20,LONG:20,focus_tone,focus_tone:20,temporal_first_contact,temporal_far_return:8|temporal_first_contact:12,reflection_context_unloaded,reflection_context_unloaded:20,0.0,0.0,0.0,0.008403,0.0,0.076391,0.408551,False,,,0,0.0,0.0,0.0,0.0,,-0.378046,0.026476,0.0,0.0,-0.421847,0.041369,0.133526,0.072546,0.094986,0.070191,0.362613,0.020313,0.282356,0.036907,-0.293952,0.023803,0.078572,0.285714,0.01701,0.0651,1.0,0.0,0.602278,0.995444,0.248904,0.644004,0.504957,0.538087,0.534031,0.154177,0.064635,0.171827,0.210821,0.154675,0.21452,0.062042,0.299939,0.066086,0.481024,0.131911,0.327489,0.130839,0.18286,0.094115,0.144629,0.220889,0.116787,0.046526,0.275705,0.042798,0.804753,0.009771,0.028926,0.044178,0.224173,0.050186,True,False,False,False,False,False,False,False,"dio_12dn: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_0bzr,6,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2,18,1,dio_0bzr5sx,8,56,1771102400000000,1771156800000000,WAIT,WAIT:18,WAIT:18,NO_TRADE:18,SHORT:18,focus_tone,focus_tone:18,temporal_far_return,temporal_far_return:12|temporal_first_contact:6,reflection_context_unloaded,reflection_context_unloaded:18,0.0,0.0,0.0,0.015431,0.0,0.140283,0.449223,False,,,0,0.0,0.0,0.0,0.0,,0.602312,0.058042,0.0,0.0,0.243009,0.04908,0.026086,0.014739,0.007753,0.057853,0.392696,0.004127,0.302809,0.017876,0.397167,0.023273,0.150794,0.285714,0.033367,0.0651,1.0,0.0,0.337566,0.996416,0.419363,0.64468,0.361778,0.538495,0.575063,0.152758,0.109898,0.173082,0.17474,0.151841,0.207533,0.057713,0.312526,0.063373,0.513197,0.132233,0.361368,0.131517,0.16405,0.09105,0.197319,0.219312,0.133913,0.048129,0.265317,0.041629,0.790114,0.013054,0.039464,0.043863,0.24935,0.054037,True,False,False,False,False,False,False,False,"dio_0bzr: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_0vu0,10,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_2,18,1,dio_0vu0aw8,28,52,1771115600000000,1771175600000000,WAIT,WAIT:18,WAIT:18,NO_TRADE:18,LONG:18,observation_tone,focus_tone:8|observation_tone:10,temporal_first_contact,temporal_far_return:8|temporal_first_contact:10,reflection_context_unloaded,reflection_context_unloaded:18,0.0,0.0,0.0,0.007886,0.0,0.071687,0.41289,False,,,0,0.0,0.0,0.0,0.0,,-0.619511,0.024918,0.0,0.0,-0.454501,0.036529,0.395532,0.076287,0.216555,0.060447,0.289251,0.02136,0.499038,0.035376,-0.412696,0.016718,0.074074,0.166667,0.015556,0.035,1.0,0.0,0.557157,0.999311,0.273916,0.618001,0.480673,0.539711,0.486427,0.157084,0.070288,0.158285,0.247269,0.157127,0.296344,0.066468,0.254777,0.068625,0.485361,0.120692,0.305797,0.128293,0.233263,0.097052,0.072534,0.225345,0.107735,0.043024,0.295068,0.04326,0.798136,0.007978,0.016896,0.03945,0.21876,0.047392,True,False,False,False,False,False,False,False,"dio_0vu0: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_03bb,10,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_2,16,1,dio_03bbsk3,29,53,1771108700000000,1771175900000000,WAIT,WAIT:16,WAIT:16,NO_TRADE:16,LONG:16,focus_tone,focus_tone:16,temporal_first_contact,temporal_far_return:6|temporal_first_contact:10,reflection_context_unloaded,reflection_context_unloaded:16,0.0,0.0,0.0,0.010816,0.0,0.098323,0.629629,False,,,0,0.0,0.0,0.0,0.0,,-0.82091,0.011223,1.0,0.0,0.246157,0.036091,-0.031026,0.028729,-0.62276,0.077047,0.991313,0.008044,0.397199,0.019435,-0.525184,0.012128,0.0625,0.166667,0.013125,0.035,1.0,0.0,0.626702,0.997716,0.230913,0.617075,0.518215,0.539041,0.734763,0.149742,0.060671,0.161119,0.237395,0.152114,0.259871,0.058358,0.27316,0.063742,0.476207,0.121376,0.375211,0.125514,0.213599,0.091441,0.161611,0.216954,0.155377,0.045689,0.277521,0.042014,0.726544,0.008439,0.032322,0.043391,0.305778,0.048498,True,False,False,False,False,False,False,False,"dio_03bb: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_06gy,8,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe21/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe24/dio_mini_lauf_2,16,1,dio_06gy9nb,18,65,1771112600000000,1771152600000000,WAIT,WAIT:16,WAIT:16,NO_TRADE:16,LONG:16,focus_tone,focus_tone:16,temporal_far_return,temporal_far_return:8|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:16,0.0,0.0,0.0,0.005284,0.0,0.048039,0.628579,False,,,0,0.0,0.0,0.0,0.0,,0.786919,0.09078,1.0,0.0,-0.02015,0.098662,0.048739,0.071919,-0.097739,0.063302,0.98559,0.014033,0.357713,0.054306,0.416291,0.033419,0.098214,0.285714,0.021404,0.066229,0.994792,0.041667,0.508156,0.994373,0.308085,0.622434,0.452488,0.537637,0.76038,0.162051,0.078305,0.161905,0.211008,0.159125,0.23926,0.073901,0.289071,0.073981,0.493579,0.127791,0.394619,0.133765,0.193333,0.101053,0.201287,0.234818,0.161224,0.045347,0.26919,0.04527,0.731184,0.009407,0.040257,0.046964,0.309073,0.043821,True,False,False,False,False,False,False,False,"dio_06gy: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_1bnp,8,dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe26/dio_mini_lauf_2,16,1,dio_1bnp3bk,27,51,1771108100000000,1771175300000000,WAIT,WAIT:16,WAIT:16,NO_TRADE:16,SHORT:16,observation_tone,observation_tone:16,temporal_far_return,temporal_far_return:8|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:16,0.0,0.0,0.0,0.004191,0.0,0.038095,0.203496,False,,,0,0.0,0.0,0.0,0.0,,-0.25845,0.048851,-1.0,0.0,-0.604055,0.021349,0.483648,0.041554,0.984594,0.061625,-0.335421,0.011635,0.40833,0.033012,-0.092786,0.034733,0.083334,0.166667,0.0175,0.035,1.0,0.0,0.502573,0.997052,0.307708,0.61669,0.45108,0.538762,0.285225,0.152122,0.077375,0.155038,0.220786,0.154329,0.258979,0.059262,0.277818,0.064847,0.49298,0.119567,0.258488,0.125586,0.205917,0.092653,0.052571,0.218239,0.071744,0.036342,0.29379,0.0401,0.875404,0.010575,0.015676,0.03226,0.140271,0.041974,True,False,False,False,False,False,False,False,"dio_1bnp: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
