source,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,best_action_training,mini_temporal_state,mini_neuro_dominant_tone,reflection_context_state,reward,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_1,4,1771121200000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.41015,-0.605926,0.0,-0.425824,0.415119,0.177515,0.283767,0.496971,-0.406013,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe22/dio_mini_lauf_2,4,1771121200000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.41015,-0.605926,0.0,-0.425824,0.415119,0.177515,0.283767,0.496971,-0.406013,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1,4,1771151200000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.411514,-0.616297,0.0,-0.421772,0.414773,0.142857,0.283863,0.500533,-0.41778,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2,4,1771151200000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.411514,-0.616297,0.0,-0.421772,0.414773,0.142857,0.283863,0.500533,-0.41778,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_1,52,1771165600000000,dio_00fqa9e,dio_00fq,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.412883,-0.63285,0.0,-0.432785,0.418693,0.165563,0.282766,0.510894,-0.425152,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe25/dio_mini_lauf_2,52,1771165600000000,dio_00fqa9e,dio_00fq,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.412883,-0.63285,0.0,-0.432785,0.418693,0.165563,0.282766,0.510894,-0.425152,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe23/dio_mini_lauf_1,36,1771140800000000,dio_00wlrex,dio_00wl,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.41859,-0.309409,0.0,-0.119337,0.009267,-0.290102,0.397405,0.152938,-0.259931,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe23/dio_mini_lauf_2,36,1771140800000000,dio_00wlrex,dio_00wl,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.41859,-0.309409,0.0,-0.119337,0.009267,-0.290102,0.397405,0.152938,-0.259931,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_1,2,1771100600000000,dio_017u2h9,dio_017u,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.215446,-0.005551,-1.0,-0.343869,0.084819,0.08,-0.223749,0.092974,-0.069637,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteD_20260606_probe20/dio_mini_lauf_2,2,1771100600000000,dio_017u2h9,dio_017u,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.215446,-0.005551,-1.0,-0.343869,0.084819,0.08,-0.223749,0.092974,-0.069637,True,False,False,False,False,False,False,False
