symbol_family,source_count,sources,episode_count,symbol_count,symbols,first_tick,last_tick,first_timestamp_ms,last_timestamp_ms,dominant_action,action_counts,raw_action_counts,outcome_counts,best_action_counts,dominant_neuro_tone,neuro_tone_counts,dominant_temporal_state,temporal_state_counts,dominant_reflection_state,reflection_state_counts,reward_sum,avg_reward,event_reward_sum,avg_trade_readiness,avg_associative_trade,avg_observation_trade_signal,avg_observation_learning_pressure,candidate_loaded,candidate_recurrence_maturity_symbol,candidate_passive_reife_state,candidate_episodes,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,candidate_variant_capacity_rate,candidate_temporal_fragility,candidate_probe_trace,avg_sehen_form_flow,span_sehen_form_flow,avg_sehen_form_stability,span_sehen_form_stability,avg_sehen_form_change,span_sehen_form_change,avg_hoeren_energy_tone,span_hoeren_energy_tone,avg_hoeren_energy_shift,span_hoeren_energy_shift,avg_fuehlen_mcm_coherence,span_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,span_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry,span_fuehlen_mcm_asymmetry,avg_mini_recurrence_strength,span_mini_recurrence_strength,avg_mini_afterimage,span_mini_afterimage,avg_mini_time_distance,span_mini_time_distance,avg_mini_temporal_form_distance,span_mini_temporal_form_distance,avg_mini_temporal_trust_support,span_mini_temporal_trust_support,avg_mini_temporal_caution_support,span_mini_temporal_caution_support,avg_mini_focus_tone,span_mini_focus_tone,avg_mini_trust_tone,span_mini_trust_tone,avg_mini_caution_tone,span_mini_caution_tone,avg_mini_strain_tone,span_mini_strain_tone,avg_mini_relief_tone,span_mini_relief_tone,avg_mini_observation_tone,span_mini_observation_tone,avg_mini_neuro_support,span_mini_neuro_support,avg_mini_neuro_load,span_mini_neuro_load,avg_mini_neuro_balance,span_mini_neuro_balance,avg_reflection_context_carry,span_reflection_context_carry,avg_reflection_context_strain,span_reflection_context_strain,avg_reflection_context_alignment,span_reflection_context_alignment,avg_reflection_world_support,span_reflection_world_support,avg_reflection_current_support,span_reflection_current_support,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,dio_cluster_sentence
dio_0h67,10,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_3|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_4|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_7|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_8|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9,18,1,dio_0h6744j,20,44,1774706440000000,1774749728000000,WAIT,WAIT:18,WAIT:18,NO_TRADE:18,LONG:18,observation_tone,observation_tone:18,temporal_first_contact,temporal_far_return:8|temporal_first_contact:10,reflection_context_unloaded,reflection_context_unloaded:18,0.0,0.0,0.0,0.01936,0.0,0.176004,0.233676,False,,,0,0.0,0.0,0.0,0.0,,0.153074,0.07555,-1.0,0.0,-0.496453,0.08142,-0.037272,0.063776,0.097096,0.095319,-0.211052,0.012317,0.160301,0.038269,-0.014008,0.033135,0.074074,0.166667,0.015556,0.035,1.0,0.0,0.562505,0.988522,0.270814,0.611743,0.482919,0.535179,0.343388,0.151123,0.073445,0.159481,0.180193,0.152636,0.163077,0.056746,0.329796,0.063427,0.48136,0.124645,0.283978,0.123603,0.147777,0.090993,0.136201,0.214596,0.08835,0.045229,0.270127,0.04094,0.8642,0.012867,0.02724,0.042919,0.163041,0.048687,True,False,False,False,False,False,False,False,"dio_0h67: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_19bg,8,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_3|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_4|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9,16,1,dio_19bgxq2,12,60,1774704040000000,1774747328000000,WAIT,WAIT:16,WAIT:16,NO_TRADE:16,LONG:16,focus_tone,focus_tone:14|observation_tone:2,temporal_far_return,temporal_far_return:8|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:16,0.0,0.0,0.0,0.031991,0.0,0.290827,0.404757,False,,,0,0.0,0.0,0.0,0.0,,-0.534751,0.056513,0.0,0.0,0.501579,0.09879,-0.361552,0.041174,-0.854912,0.07205,0.298765,0.011529,0.4567,0.042587,-0.350064,0.052845,0.098214,0.285714,0.021263,0.0651,1.0,0.0,0.510254,0.983562,0.306834,0.634913,0.454307,0.533096,0.504127,0.161768,0.087069,0.175322,0.231538,0.157617,0.273109,0.070784,0.2689,0.071732,0.485311,0.128608,0.319168,0.13513,0.216582,0.098126,0.102586,0.233068,0.115118,0.049691,0.28768,0.045121,0.791172,0.021974,0.021146,0.043821,0.229974,0.056864,True,False,False,False,False,False,False,False,"dio_19bg: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_1hs5,8,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_3|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_4|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9,16,1,dio_1hs5sz6,10,58,1774703440000000,1774753928000000,WAIT,WAIT:16,WAIT:16,NO_TRADE:16,LONG:16,observation_tone,observation_tone:16,temporal_far_return,temporal_far_return:8|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:16,0.0,0.0,0.0,0.005171,0.0,0.047014,0.222371,False,,,0,0.0,0.0,0.0,0.0,,0.149751,0.043933,-1.0,0.0,-0.735055,0.039742,0.099112,0.108231,0.274948,0.108467,-0.227751,0.030305,0.222131,0.060484,-0.037563,0.029318,0.098214,0.285714,0.017513,0.0651,1.0,0.0,0.507517,0.99461,0.307522,0.63163,0.453157,0.537736,0.337494,0.16793,0.077665,0.161004,0.184176,0.161485,0.186771,0.073619,0.318714,0.074727,0.492655,0.129589,0.282967,0.135769,0.159481,0.101559,0.123486,0.23715,0.082735,0.045002,0.275399,0.045313,0.871027,0.008305,0.024697,0.04743,0.15367,0.042036,True,False,False,False,False,False,False,False,"dio_1hs5: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_far_return; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_02s2,8,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_11|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_12,12,1,dio_02s2v1v,14,62,1774704640000000,1774755128000000,WAIT,WAIT:12,WAIT:12,NO_TRADE:12,LONG:12,focus_tone,focus_tone:12,temporal_first_contact,temporal_far_return:4|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:12,0.0,0.0,0.0,0.02536,5e-06,0.23054,0.369631,False,,,0,0.0,0.0,0.0,0.0,,-0.038274,0.033723,0.0,0.0,0.208623,0.048128,-0.169059,0.053077,0.028334,0.049383,0.352664,0.014861,0.120459,0.033588,0.034303,0.019582,0.055556,0.166667,0.011667,0.035,1.0,0.0,0.672299,0.985705,0.202867,0.610109,0.542365,0.533996,0.553969,0.154247,0.05871,0.163702,0.18892,0.155651,0.152215,0.070323,0.332276,0.069546,0.466475,0.128187,0.336436,0.127749,0.147055,0.097875,0.189381,0.225623,0.120716,0.049617,0.2625,0.045106,0.815912,0.020915,0.037876,0.045124,0.221964,0.055109,True,False,False,False,False,False,False,False,"dio_02s2: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_0gmg,8,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_3|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_4|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_7|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_8|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9,12,1,dio_0gmgc99,22,47,1774716062000000,1774750328000000,WAIT,WAIT:12,WAIT:12,NO_TRADE:12,SHORT:12,observation_tone,observation_tone:12,temporal_first_contact,temporal_far_return:4|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:12,0.0,0.0,0.0,0.007903,0.0,0.071845,0.236521,False,,,0,0.0,0.0,0.0,0.0,,0.129512,0.027056,-1.0,0.0,0.348685,0.099783,-0.006853,0.054373,-0.153174,0.047703,-0.204089,0.011771,0.116318,0.017298,0.125576,0.02746,0.055556,0.166667,0.011667,0.035,1.0,0.0,0.671386,0.991017,0.203396,0.61319,0.541982,0.536227,0.336979,0.149704,0.052902,0.156501,0.187985,0.152376,0.153714,0.059091,0.332046,0.064234,0.471807,0.11991,0.274841,0.12382,0.147273,0.091864,0.127568,0.215684,0.084489,0.043425,0.270844,0.041425,0.868944,0.009844,0.025514,0.043137,0.15657,0.044719,True,False,False,False,False,False,False,False,"dio_0gmg: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_0inm,10,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_7|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_8|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_11|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_12|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe26/dio_mini_lauf_13|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe26/dio_mini_lauf_14,12,1,dio_0inm1zr,34,59,1774728684000000,1774771972000000,WAIT,WAIT:12,WAIT:12,NO_TRADE:12,LONG:12,observation_tone,observation_tone:12,temporal_first_contact,temporal_far_return:2|temporal_first_contact:10,reflection_context_unloaded,reflection_context_unloaded:12,0.0,0.0,0.0,0.004472,1e-05,0.040654,0.219664,False,,,0,0.0,0.0,0.0,0.0,,0.156188,0.047153,-1.0,0.0,-0.769139,0.057633,0.128792,0.101402,0.383447,0.090607,-0.236062,0.028393,0.242754,0.038417,-0.020439,0.03274,0.027778,0.166667,0.005833,0.035,1.0,0.0,0.837449,0.975305,0.100679,0.604077,0.631729,0.529628,0.282564,0.144178,0.026384,0.150685,0.238304,0.148604,0.2119,0.050945,0.29392,0.059823,0.453064,0.117805,0.239125,0.120394,0.193852,0.086782,0.045274,0.207177,0.067722,0.038746,0.290699,0.038677,0.869629,0.010086,0.009055,0.041435,0.139426,0.035957,True,False,False,False,False,False,False,False,"dio_0inm: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch observation_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_1hj5,10,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_3|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe21/dio_mini_lauf_4|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe26/dio_mini_lauf_13|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe26/dio_mini_lauf_14,12,1,dio_1hj5niv,26,50,1774708240000000,1774769572000000,WAIT,WAIT:12,WAIT:12,NO_TRADE:12,SHORT:12,focus_tone,focus_tone:12,temporal_first_contact,temporal_far_return:2|temporal_first_contact:10,reflection_context_unloaded,reflection_context_unloaded:12,0.0,0.0,0.0,0.026955,7e-06,0.245042,0.391378,False,,,0,0.0,0.0,0.0,0.0,,0.140467,0.050898,0.0,0.0,-0.28352,0.065145,-0.044966,0.043024,0.03311,0.08715,0.38741,0.012047,0.123245,0.033361,0.017239,0.020551,0.027778,0.166667,0.005833,0.035,1.0,0.0,0.836289,0.982265,0.101352,0.608114,0.631242,0.532551,0.533913,0.152765,0.034189,0.159333,0.214211,0.155786,0.161418,0.063638,0.321811,0.066269,0.44644,0.125222,0.317346,0.125346,0.162048,0.094201,0.155298,0.219547,0.117612,0.045364,0.268408,0.04289,0.807661,0.018338,0.03106,0.04391,0.223399,0.047141,True,False,False,False,False,False,False,False,"dio_1hj5: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_1xfw,10,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_11|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_12|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe26/dio_mini_lauf_13|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe26/dio_mini_lauf_14,12,1,dio_1xfw0oi,35,59,1774710940000000,1774765072000000,WAIT,WAIT:12,WAIT:12,NO_TRADE:12,LONG:12,focus_tone,focus_tone:12,temporal_first_contact,temporal_far_return:2|temporal_first_contact:10,reflection_context_unloaded,reflection_context_unloaded:12,0.0,0.0,0.0,0.027961,1.6e-05,0.254177,0.407664,False,,,0,0.0,0.0,0.0,0.0,,-0.342907,0.050397,0.0,0.0,-0.381226,0.061147,0.107346,0.026706,0.006085,0.088932,0.369943,0.007478,0.250102,0.028541,-0.282305,0.046832,0.027778,0.166667,0.005833,0.035,1.0,0.0,0.837406,0.975566,0.100705,0.604228,0.63171,0.529738,0.505941,0.142077,0.034376,0.154912,0.239885,0.145984,0.210561,0.043076,0.29388,0.055016,0.446022,0.128238,0.302791,0.118893,0.193985,0.08138,0.108807,0.199901,0.112913,0.041801,0.280476,0.037542,0.79744,0.020432,0.021761,0.03998,0.224321,0.044027,True,False,False,False,False,False,False,False,"dio_1xfw: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_02cr,8,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_7|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_8|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_10|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe24/dio_mini_lauf_9,10,1,dio_02crf5g,19,43,1774706140000000,1774749428000000,WAIT,WAIT:10,WAIT:10,NO_TRADE:10,LONG:10,focus_tone,focus_tone:10,temporal_first_contact,temporal_far_return:2|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:10,0.0,0.0,0.0,0.014796,0.0,0.134506,0.424353,False,,,0,0.0,0.0,0.0,0.0,,0.505717,0.031037,0.0,0.0,-0.598373,0.054213,-0.082716,0.02106,-0.233571,0.061566,0.376839,0.005897,0.342882,0.012464,0.092878,0.025377,0.033333,0.166667,0.007,0.035,1.0,0.0,0.80278,0.986101,0.122068,0.610338,0.613168,0.534162,0.493478,0.147789,0.035167,0.156358,0.253187,0.150654,0.247143,0.052384,0.274677,0.061029,0.454073,0.122786,0.296379,0.122236,0.215202,0.08829,0.081177,0.210526,0.108892,0.042414,0.288682,0.039677,0.794098,0.011954,0.016235,0.042105,0.222138,0.043217,True,False,False,False,False,False,False,False,"dio_02cr: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
dio_0bzr,8,dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_1|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe20/dio_mini_lauf_2|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_5|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe22/dio_mini_lauf_6|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_7|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe23/dio_mini_lauf_8|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_11|dio_mini_repro_semantic_matrix_6episoden_varianteG_repro_check_probe25/dio_mini_lauf_12,10,1,dio_0bzr5sx,32,57,1774710040000000,1774762350000000,WAIT,WAIT:10,WAIT:10,NO_TRADE:10,SHORT:10,focus_tone,focus_tone:10,temporal_first_contact,temporal_far_return:2|temporal_first_contact:8,reflection_context_unloaded,reflection_context_unloaded:10,0.0,0.0,0.0,0.027016,5e-06,0.245605,0.447513,False,,,0,0.0,0.0,0.0,0.0,,0.590109,0.037264,0.0,0.0,0.258287,0.066098,0.015541,0.05591,-0.017871,0.078682,0.393004,0.009045,0.299665,0.027418,0.388876,0.03488,0.033333,0.166667,0.007,0.035,1.0,0.0,0.805097,0.974516,0.120724,0.603619,0.614141,0.529297,0.504061,0.151271,0.038999,0.155332,0.244754,0.153697,0.228246,0.061595,0.284909,0.065182,0.450165,0.12926,0.302245,0.123987,0.203555,0.092918,0.09869,0.216905,0.116936,0.043898,0.282872,0.042119,0.784004,0.024125,0.019738,0.043381,0.235734,0.044532,True,False,False,False,False,False,False,False,"dio_0bzr: wiederkehrende Syntaxspur; dominant WAIT; zeitlich temporal_first_contact; neurochemisch focus_tone; Konsequenz neutral. Passive Lupe, keine Handlung."
