source,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,best_action_training,mini_temporal_state,mini_neuro_dominant_tone,reflection_context_state,reward,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe25/dio_mini_lauf_11,27,1778654400000000,dio_005k8bc,dio_005k,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.345166,-0.065818,0.0,-0.379723,0.431564,0.964674,0.279162,0.269656,0.064943,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe25/dio_mini_lauf_12,27,1778654400000000,dio_005k8bc,dio_005k,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.345171,-0.065818,0.0,-0.379723,0.431564,0.964674,0.279162,0.269656,0.064943,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe20/dio_mini_lauf_1,4,1778602240000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.415279,-0.594444,0.0,-0.392222,0.351992,0.106157,0.301442,0.460259,-0.405791,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe20/dio_mini_lauf_2,4,1778602240000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.415279,-0.594444,0.0,-0.392222,0.351992,0.106157,0.301442,0.460259,-0.405791,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe22/dio_mini_lauf_5,4,1778620344000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.416578,-0.597073,0.0,-0.345792,0.352925,0.106383,0.301181,0.454326,-0.396074,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe22/dio_mini_lauf_6,4,1778620344000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.416578,-0.597073,0.0,-0.345792,0.352925,0.106383,0.301181,0.454326,-0.396074,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe24/dio_mini_lauf_10,4,1778638448000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.417783,-0.58883,0.0,-0.366132,0.323617,0.099602,0.309387,0.441809,-0.397696,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe24/dio_mini_lauf_9,4,1778638448000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.417783,-0.58883,0.0,-0.366132,0.323617,0.099602,0.309387,0.441809,-0.397696,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe23/dio_mini_lauf_7,49,1778642896000000,dio_00r9hgq,dio_00r9,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.418581,0.426887,0.0,-0.051975,-0.181252,0.16092,0.34925,0.263734,0.258767,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe23/dio_mini_lauf_8,49,1778642896000000,dio_00r9hgq,dio_00r9,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.418581,0.426887,0.0,-0.051975,-0.181252,0.16092,0.34925,0.263734,0.258767,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe21/dio_mini_lauf_3,34,1778620292000000,dio_00v88sn,dio_00v8,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.226475,0.283248,-1.0,-0.879452,0.193084,0.224242,-0.254064,0.340772,-0.007601,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe21/dio_mini_lauf_4,34,1778620292000000,dio_00v88sn,dio_00v8,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.226475,0.283248,-1.0,-0.879452,0.193084,0.224242,-0.254064,0.340772,-0.007601,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe25/dio_mini_lauf_11,37,1778657400000000,dio_010hu24,dio_010h,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.244437,-0.400747,-1.0,0.473942,-0.252876,0.204741,-0.270805,0.350352,-0.069724,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteI_weltkontakt_probe25/dio_mini_lauf_12,37,1778657400000000,dio_010hu24,dio_010h,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.244441,-0.400747,-1.0,0.473942,-0.252876,0.204741,-0.270805,0.350352,-0.069724,True,False,False,False,False,False,False,False
