source,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,best_action_training,mini_temporal_state,mini_neuro_dominant_tone,reflection_context_state,reward,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe20/dio_mini_lauf_1,4,1790404280000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.414876,-0.577951,0.0,-0.388472,0.335654,0.123711,0.306017,0.44587,-0.392144,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe20/dio_mini_lauf_2,4,1790404280000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.414876,-0.577951,0.0,-0.388472,0.335654,0.123711,0.306017,0.44587,-0.392144,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe22/dio_mini_lauf_5,4,1790422588000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.415157,-0.578752,0.0,-0.358116,0.34132,0.121739,0.30443,0.443729,-0.385701,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe22/dio_mini_lauf_6,4,1790422588000000,dio_005qokf,dio_005q,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.415157,-0.578752,0.0,-0.358116,0.34132,0.121739,0.30443,0.443729,-0.385701,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_11,12,1790452450000000,dio_00dbln2,dio_00db,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.398212,-0.411976,0.0,-0.068182,-0.38235,-0.949657,0.292942,0.344526,-0.437002,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_12,12,1790452450000000,dio_00dbln2,dio_00db,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.398222,-0.411976,0.0,-0.068182,-0.38235,-0.949657,0.292942,0.344526,-0.437002,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe21/dio_mini_lauf_3,47,1790426334000000,dio_00odqtw,dio_00od,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.223431,0.15249,-1.0,0.275533,-0.207748,-0.312046,-0.258169,0.195385,0.089113,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe21/dio_mini_lauf_4,47,1790426334000000,dio_00odqtw,dio_00od,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.223431,0.15249,-1.0,0.275533,-0.207748,-0.312046,-0.258169,0.195385,0.089113,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_7,49,1790445242000000,dio_00r9hgq,dio_00r9,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.419184,0.426929,0.0,-0.037459,-0.178348,0.1566,0.350063,0.26021,0.26141,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_8,49,1790445242000000,dio_00r9hgq,dio_00r9,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.419184,0.426929,0.0,-0.037459,-0.178348,0.1566,0.350063,0.26021,0.26141,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_11,16,1790453650000000,dio_00t9n8r,dio_00t9,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.563218,0.650625,1.0,0.714723,0.41994,0.061576,0.882417,0.563993,0.548199,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_12,16,1790453650000000,dio_00t9n8r,dio_00t9,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.563225,0.650625,1.0,0.714723,0.41994,0.061576,0.882417,0.563993,0.548199,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_11,37,1790459950000000,dio_010hu24,dio_010h,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.244907,-0.400707,-1.0,0.473917,-0.247784,0.191898,-0.269379,0.348193,-0.072276,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_12,37,1790459950000000,dio_010hu24,dio_010h,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.244912,-0.400707,-1.0,0.473917,-0.247784,0.191898,-0.269379,0.348193,-0.072276,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_11,66,1790468650000000,dio_018gmf9,dio_018g,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.650413,0.981162,1.0,-0.047873,0.064204,-0.089869,0.982023,0.446713,0.519987,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_12,66,1790468650000000,dio_018gmf9,dio_018g,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.650404,0.981162,1.0,-0.047873,0.064204,-0.089869,0.982023,0.446713,0.519987,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe21/dio_mini_lauf_3,33,1790422134000000,dio_01pxjcy,dio_01px,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.272376,0.527461,-1.0,-0.585638,-0.08348,-0.125628,-0.223375,0.350298,0.1297,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe21/dio_mini_lauf_4,33,1790422134000000,dio_01pxjcy,dio_01px,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.272376,0.527461,-1.0,-0.585638,-0.08348,-0.125628,-0.223375,0.350298,0.1297,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_13,41,1790470304000000,dio_01w7y21,dio_01w7,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.59001,0.564184,1.0,0.167237,0.151255,-0.0,0.957649,0.327242,0.35608,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_14,41,1790470304000000,dio_01w7y21,dio_01w7,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.589959,0.564184,1.0,0.167237,0.151255,-0.0,0.957649,0.327242,0.35608,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_7,20,1790436542000000,dio_02crf5g,dio_02cr,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.431312,0.552153,0.0,-0.572996,-0.073623,-0.286225,0.379386,0.354505,0.114442,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_8,20,1790436542000000,dio_02crf5g,dio_02cr,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.431312,0.552153,0.0,-0.572996,-0.073623,-0.286225,0.379386,0.354505,0.114442,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe20/dio_mini_lauf_1,61,1790421380000000,dio_02rt6o7,dio_02rt,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.411341,-0.45564,0.0,0.479642,-0.190325,0.195652,0.346709,0.348048,-0.100914,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe20/dio_mini_lauf_2,61,1790421380000000,dio_02rt6o7,dio_02rt,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.411341,-0.45564,0.0,0.479642,-0.190325,0.195652,0.346709,0.348048,-0.100914,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_11,61,1790467150000000,dio_02rt6o7,dio_02rt,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.41452,-0.481445,0.0,0.438272,-0.200093,0.2194,0.343974,0.35637,-0.120544,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_12,61,1790467150000000,dio_02rt6o7,dio_02rt,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.414549,-0.481445,0.0,0.438272,-0.200093,0.2194,0.343974,0.35637,-0.120544,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_13,61,1790476304000000,dio_02rt6o7,dio_02rt,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.413977,-0.471407,0.0,0.446284,-0.191457,0.208817,0.346392,0.349808,-0.115116,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_14,61,1790476304000000,dio_02rt6o7,dio_02rt,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.414016,-0.471407,0.0,0.446284,-0.191457,0.208817,0.346392,0.349808,-0.115116,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe24/dio_mini_lauf_10,42,1790452296000000,dio_0325foy,dio_0325,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.615052,0.685735,1.0,0.144425,0.039579,-0.038023,0.988918,0.32774,0.411069,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe24/dio_mini_lauf_9,42,1790452296000000,dio_0325foy,dio_0325,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.615041,0.685735,1.0,0.144425,0.039579,-0.038023,0.988918,0.32774,0.411069,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_11,9,1790451550000000,dio_03fdhrg,dio_03fd,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.605965,0.714849,1.0,-0.207289,-0.162302,-0.332103,0.954555,0.40157,0.284145,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_12,9,1790451550000000,dio_03fdhrg,dio_03fd,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.605973,0.714849,1.0,-0.207289,-0.162302,-0.332103,0.954555,0.40157,0.284145,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe20/dio_mini_lauf_1,51,1790418380000000,dio_03scjo4,dio_03sc,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.190972,-0.152058,-1.0,-0.635974,0.473425,0.962963,-0.332559,0.364459,-0.045194,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe20/dio_mini_lauf_2,51,1790418380000000,dio_03scjo4,dio_03sc,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.190972,-0.152058,-1.0,-0.635974,0.473425,0.962963,-0.332559,0.364459,-0.045194,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe22/dio_mini_lauf_5,51,1790436688000000,dio_03scjo4,dio_03sc,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.189618,-0.144794,-1.0,-0.626216,0.481254,0.99182,-0.334751,0.363135,-0.033012,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe22/dio_mini_lauf_6,51,1790436688000000,dio_03scjo4,dio_03sc,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.189618,-0.144794,-1.0,-0.626216,0.481254,0.99182,-0.334751,0.363135,-0.033012,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_11,51,1790464150000000,dio_03scjo4,dio_03sc,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.190724,-0.178775,-1.0,-0.659768,0.505354,1.0,-0.341499,0.392897,-0.058458,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe25/dio_mini_lauf_12,51,1790464150000000,dio_03scjo4,dio_03sc,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.190735,-0.178775,-1.0,-0.659768,0.505354,1.0,-0.341499,0.392897,-0.058458,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_13,49,1790472704000000,dio_03udgd1,dio_03ud,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.588874,0.562436,1.0,-0.055794,-0.189548,0.185644,0.946927,0.32476,0.338702,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_14,49,1790472704000000,dio_03udgd1,dio_03ud,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.588831,0.562436,1.0,-0.055794,-0.189548,0.185644,0.946927,0.32476,0.338702,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe21/dio_mini_lauf_3,41,1790424534000000,dio_04biqaa,dio_04bi,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.593215,0.520142,1.0,0.211891,-0.044864,-0.146444,0.987438,0.271205,0.312845,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe21/dio_mini_lauf_4,41,1790424534000000,dio_04biqaa,dio_04bi,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.593215,0.520142,1.0,0.211891,-0.044864,-0.146444,0.987438,0.271205,0.312845,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_13,6,1790459804000000,dio_04jc5l3,dio_04jc,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.4123,-0.433593,0.0,0.934047,0.03663,0.341098,0.389743,0.346942,0.049579,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_14,6,1790459804000000,dio_04jc5l3,dio_04jc,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.412299,-0.433593,0.0,0.934047,0.03663,0.341098,0.389743,0.346942,0.049579,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_7,30,1790439542000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.621991,-0.768251,1.0,0.21849,-0.05287,-0.10397,0.985196,0.379829,-0.398577,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_8,30,1790439542000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.621991,-0.768251,1.0,0.21849,-0.05287,-0.10397,0.985196,0.379829,-0.398577,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe24/dio_mini_lauf_10,1,1790439996000000,dio_05e5hny,dio_05e5,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.543905,0.077793,1.0,0.155587,0.019935,0.014815,0.994418,0.06594,0.083868,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe24/dio_mini_lauf_9,1,1790439996000000,dio_05e5hny,dio_05e5,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.543905,0.077793,1.0,0.155587,0.019935,0.014815,0.994418,0.06594,0.083868,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_7,3,1790431442000000,dio_05prtxl,dio_05pr,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.314391,-0.222222,-0.333333,-0.577398,0.357869,0.914286,0.099797,0.336022,-0.080163,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe23/dio_mini_lauf_8,3,1790431442000000,dio_05prtxl,dio_05pr,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.314391,-0.222222,-0.333333,-0.577398,0.357869,0.914286,0.099797,0.336022,-0.080163,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteM_folgekontakt4_probe26/dio_mini_lauf_13,3,1790458904000000,dio_05prtxl,dio_05pr,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.316379,-0.294592,-0.333333,-0.5727,0.432913,0.907463,0.078784,0.397184,-0.120927,True,False,False,False,False,False,False,False
