left_family,right_family,left_episodes,right_episodes,left_reife_state,right_reife_state,reife_state_relation,left_neuro_tone,right_neuro_tone,neuro_tone_relation,left_action,right_action,action_relation,sense_distance,sense_similarity,mcm_distance,mcm_similarity,hearing_distance,hearing_similarity,temporal_distance,temporal_similarity,neuro_distance,neuro_similarity,reflection_distance,reflection_similarity,reife_distance,reife_similarity,meaning_distance,meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,neighbor_state,dio_neighbor_sentence
dio_1rv1,dio_1jgc,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.016813,0.997744,0.009948,0.999209,0.052321,0.978569,0.0,1.0,0.001563,0.99998,0.000612,0.999997,0.0,1.0,0.01277,0.998697,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1rv1+dio_1jgc: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1rv1,dio_0x52,4,8,,sinnnah_variantenfaehig,state_missing,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.006882,0.999621,0.001962,0.999969,0.017648,0.997515,0.0,1.0,0.000469,0.999998,0.000344,0.999999,0.75,0.181818,0.049294,0.980931,True,False,False,False,False,False,False,False,passive_near_meaning_neighbor,"dio_1rv1+dio_0x52: nahe Sinnspur; Form, Feld und Energie liegen beieinander."
dio_1rv1,dio_1qpi,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.166431,0.818603,0.182429,0.789738,0.171023,0.81038,0.0,1.0,0.053606,0.977528,0.015463,0.998091,0.0,1.0,0.109342,0.912704,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_1qpi: schwache Verwandtschaft im Bedeutungsraum.
dio_1rv1,dio_12xn,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.185781,0.783628,0.208245,0.742431,0.138358,0.867196,0.0,1.0,0.057884,0.973896,0.018667,0.99722,0.0,1.0,0.116601,0.901903,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_12xn: schwache Verwandtschaft im Bedeutungsraum.
dio_1rv1,dio_06gy,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.207943,0.742985,0.173109,0.806624,0.204748,0.748853,0.0,1.0,0.04474,0.984239,0.018181,0.997363,0.0,1.0,0.120278,0.89627,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_06gy: schwache Verwandtschaft im Bedeutungsraum.
dio_1rv1,dio_1935,4,6,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.229263,0.703981,0.204797,0.748765,0.126609,0.886338,0.0,1.0,0.058936,0.972964,0.021552,0.996298,0.0,1.0,0.125247,0.888499,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_1935: schwache Verwandtschaft im Bedeutungsraum.
dio_1rv1,dio_11ex,4,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.210382,0.738507,0.207988,0.742903,0.163121,0.824492,0.0,1.0,0.05846,0.973387,0.019914,0.996837,0.0,1.0,0.125601,0.887938,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_11ex: schwache Verwandtschaft im Bedeutungsraum.
dio_1rv1,dio_13p1,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.195474,0.765884,0.210935,0.737492,0.197362,0.762419,0.0,1.0,0.06156,0.970575,0.017962,0.997426,0.0,1.0,0.127058,0.885622,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_13p1: schwache Verwandtschaft im Bedeutungsraum.
dio_1rv1,dio_0hd3,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.235558,0.692569,0.202045,0.75382,0.154419,0.839798,0.0,1.0,0.059193,0.972734,0.02166,0.996261,0.0,1.0,0.129534,0.881654,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_0hd3: schwache Verwandtschaft im Bedeutungsraum.
dio_1rv1,dio_1nvu,4,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.217952,0.724624,0.225078,0.711602,0.162368,0.825827,0.0,1.0,0.062991,0.969233,0.020969,0.996495,0.0,1.0,0.131806,0.877976,True,False,False,False,False,False,False,False,weak_meaning_kinship,dio_1rv1+dio_1nvu: schwache Verwandtschaft im Bedeutungsraum.
