stage_order,stage_label,family,found,match_count,text_islands,text_changed_from_previous,inner_map_states,maturity_states,semantic_maturity_score,score_delta_from_previous,stability_pressure,variation_bearing,drift_pressure,lineage_motion_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,O_FOLGEKONTAKT6,dio_10qz,True,1,dio_text_lzxisi,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_114i,True,1,dio_text_lzxisi,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_1ytc,False,0,,False,,,0.0,0.0,0.0,0.0,0.0,family_not_visible,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_0325,True,1,dio_text_1x39ndk,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_07kj,True,1,dio_text_xdrx62,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_09u3,True,1,dio_text_xdrx62,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_0r8l,True,1,dio_text_1iuwfze,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_10xx,True,1,dio_text_1iuwfze,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_0zkk,True,1,dio_text_4awq52,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_12x0,True,1,dio_text_4awq52,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_0dki,True,1,dio_text_1yoysm7,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,O_FOLGEKONTAKT6,dio_0eeh,True,1,dio_text_1yoysm7,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_10qz,True,1,dio_text_lzxisi,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_114i,True,1,dio_text_lzxisi,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_1ytc,False,0,,False,,,0.0,0.0,0.0,0.0,0.0,family_not_visible,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_0325,True,1,dio_text_1x39ndk,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_07kj,True,1,dio_text_xdrx62,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_09u3,True,1,dio_text_xdrx62,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_0r8l,True,1,dio_text_1iuwfze,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_10xx,True,1,dio_text_1iuwfze,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_0zkk,True,1,dio_text_ddbk0g,True,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.206666667,-0.013333333,0.55,0.082666667,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_12x0,True,1,dio_text_6p58cl,True,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,-0.006666667,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_0dki,True,1,dio_text_1yoysm7,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_P_folgekontakt7,dio_0eeh,True,1,dio_text_1yoysm7,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,family_carried_phase,True,False,False,False,False,False,False,False
