family,base_families,stage_count,visible_count,missing_count,coupled_stage_count,island_stage_count,max_coupled_degree,avg_vector_drift,max_vector_drift,inner_spacetime_state,inner_spacetime_reading,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_005q,dio_10qz|dio_114i,5,5,0,0,5,0,0.001434764,0.002440042,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_00db,dio_10qz|dio_114i,5,2,3,0,2,0,0.001022025,0.001022025,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_00od,dio_10qz|dio_114i,5,3,2,0,3,0,0.000440823,0.000580643,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_00r9,dio_10qz|dio_114i,5,5,0,0,5,0,0.002008754,0.003063485,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_00t9,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_010h,dio_10qz|dio_114i,5,3,2,0,3,0,0.001737955,0.003344183,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_015b,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_018g,dio_10qz|dio_114i,5,4,1,0,4,0,0.001387057,0.00371739,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_01px,dio_10qz|dio_114i,5,5,0,0,5,0,0.00167434,0.004152349,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_01w7,dio_10qz|dio_114i,5,5,0,0,5,0,0.001054141,0.003498481,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_02cr,dio_10qz|dio_114i,5,5,0,0,5,0,0.001138841,0.002008034,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
