transition,text_island_symbol,lupe_category,was_present_before,left_inner_map_state,right_inner_map_state,left_maturity_state,right_maturity_state,semantic_maturity_score,semantic_maturity_delta,stability_pressure,variation_bearing,drift_pressure,family_count,families,inner_map_note,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
F_ONLY->F_G,dio_text_t4lcg6,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,2,dio_0alq|dio_105u,"dio_text_t4lcg6: inner_unconfirmed_raw_space; score=0.213; stable=0.550; var=0.085; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_vprmib,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.213333333,0.0,0.55,0.085333333,0.0,2,dio_0fdh|dio_0o5p,"dio_text_vprmib: inner_unconfirmed_raw_space; score=0.213; stable=0.550; var=0.085; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_12s80z7,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_0vu0,"dio_text_12s80z7: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_149kk0l,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_01w7,"dio_text_149kk0l: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_14cjsrg,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_1o2b,"dio_text_14cjsrg: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_1acqnej,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_12tp,"dio_text_1acqnej: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_1ayz,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_0siu,"dio_text_1ayz: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_1b2bq44,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_05st,"dio_text_1b2bq44: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_1c3wtc0,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_14md,"dio_text_1c3wtc0: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
F_ONLY->F_G,dio_text_1ccct8g,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.0,0.55,0.082666667,0.0,1,dio_1wnr,"dio_text_1ccct8g: inner_unconfirmed_raw_space; score=0.207; stable=0.550; var=0.083; passiv, keine Handlung.",True,False,False,False,False,False,False,False
