symbol_family,episode_count,source_count,candidate_loaded,candidate_passive_reife_state,dominant_action,dominant_neuro_tone,dominant_temporal_state,avg_sehen_form_flow,avg_hoeren_energy_tone,avg_fuehlen_mcm_coherence,avg_observation_learning_pressure,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,candidate_variant_capacity_rate,candidate_temporal_fragility,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,matrix_node_state,dio_matrix_node_sentence
dio_0h67,20,12,False,,WAIT,observation_tone,temporal_first_contact,0.138778,-0.04313,-0.212086,0.2321,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0h67: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0bzr,18,12,False,,WAIT,focus_tone,temporal_first_contact,0.590539,0.022931,0.393579,0.447958,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0bzr: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0vu0,18,12,False,,WAIT,observation_tone,temporal_first_contact,-0.602568,0.39398,0.289686,0.410506,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0vu0: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_19bg,18,8,False,,WAIT,focus_tone,temporal_far_return,-0.53732,-0.37053,0.296251,0.403865,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_19bg: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_02cr,16,10,False,,WAIT,focus_tone,temporal_first_contact,0.499213,-0.094197,0.373625,0.422421,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_02cr: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_03bb,16,8,False,,WAIT,focus_tone,temporal_far_return,-0.833787,-0.037082,0.989617,0.630876,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_03bb: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0inm,16,10,False,,WAIT,observation_tone,temporal_first_contact,0.154446,0.115791,-0.232422,0.220607,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0inm: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0q96,16,8,False,,WAIT,focus_tone,temporal_far_return,-0.53068,-0.020035,0.391758,0.424971,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0q96: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_02s2,14,10,False,,WAIT,focus_tone,temporal_first_contact,-0.045106,-0.162344,0.354544,0.371096,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_02s2: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_1hs5,12,6,False,,WAIT,observation_tone,temporal_far_return,0.153236,0.094908,-0.226574,0.222976,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_1hs5: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_1xfw,12,6,False,,WAIT,focus_tone,temporal_far_return,-0.359866,0.102783,0.371221,0.409163,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_1xfw: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
