symbol_family,episode_count,source_count,candidate_loaded,candidate_passive_reife_state,dominant_action,dominant_neuro_tone,dominant_temporal_state,avg_sehen_form_flow,avg_hoeren_energy_tone,avg_fuehlen_mcm_coherence,avg_observation_learning_pressure,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,candidate_variant_capacity_rate,candidate_temporal_fragility,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,matrix_node_state,dio_matrix_node_sentence
dio_06b8,14,12,False,,WAIT,observation_tone,temporal_first_contact,-0.259475,-0.128237,-0.235906,0.241486,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_06b8: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0gmg,14,10,False,,WAIT,observation_tone,temporal_first_contact,0.14121,0.002316,-0.20506,0.20306,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0gmg: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_05ws,12,10,False,,WAIT,focus_tone,temporal_first_contact,-0.781683,-0.012566,0.995518,0.418437,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_05ws: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0eeh,12,10,False,,WAIT,focus_tone,temporal_first_contact,0.601149,0.352334,0.901346,0.56613,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0eeh: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_1wja,12,8,False,,WAIT,focus_tone,temporal_first_contact,0.08156,0.254555,0.328725,0.366916,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_1wja: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0lrt,10,6,False,,WAIT,focus_tone,temporal_first_contact,-0.395182,-0.348751,0.30235,0.397881,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0lrt: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0r61,10,10,False,,WAIT,observation_tone,temporal_first_contact,-0.255287,-0.154254,-0.243191,0.238605,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0r61: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_1287,10,10,False,,WAIT,observation_tone,temporal_first_contact,-0.209857,0.0935,-0.22618,0.235121,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_1287: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_07mw,8,6,False,,WAIT,focus_tone,temporal_first_contact,0.33052,0.031569,0.391161,0.40825,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_07mw: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0ce4,8,4,False,,WAIT,focus_tone,temporal_far_return,0.662571,-0.097016,0.972835,0.6078,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0ce4: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_0zq7,8,8,False,,WAIT,focus_tone,temporal_first_contact,-0.534299,0.373841,0.295325,0.404572,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_0zq7: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_12x0,8,8,False,,WAIT,focus_tone,temporal_first_contact,-0.701817,-0.030065,0.391582,0.461297,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_12x0: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_16l1,8,8,False,,WAIT,observation_tone,temporal_first_contact,0.152378,-0.158313,-0.244328,0.227999,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_16l1: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_19bg,8,8,False,,WAIT,focus_tone,temporal_first_contact,-0.517287,-0.355638,0.300421,0.402395,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_19bg: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_1gwl,8,8,False,,WAIT,focus_tone,temporal_first_contact,0.593684,-0.076865,0.978478,0.602902,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_1gwl: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
dio_1iox,8,8,False,,WAIT,observation_tone,temporal_first_contact,-0.380638,0.340171,-0.295248,0.231511,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,recurring_raw_semantic_trace,dio_1iox: wiederkehrende rohe Syntaxspur im Bedeutungsraum.
