metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
node_count_reference,310,True,False,False,False,False,False,False,False
node_count_candidate,297,True,False,False,False,False,False,False,False
shared_node_count,236,True,False,False,False,False,False,False,False
node_reproduction_rate,0.76129,True,False,False,False,False,False,False,False
edge_count_reference,12,True,False,False,False,False,False,False,False
edge_count_candidate,12,True,False,False,False,False,False,False,False
shared_edge_count,5,True,False,False,False,False,False,False,False
edge_reproduction_rate,0.416667,True,False,False,False,False,False,False,False
island_count_reference,298,True,False,False,False,False,False,False,False
island_count_candidate,285,True,False,False,False,False,False,False,False
avg_island_similarity_reference,0.030197,True,False,False,False,False,False,False,False
avg_island_similarity_candidate,0.03859,True,False,False,False,False,False,False,False
