metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
node_count_reference,301,True,False,False,False,False,False,False,False
node_count_candidate,306,True,False,False,False,False,False,False,False
shared_node_count,286,True,False,False,False,False,False,False,False
node_reproduction_rate,0.950166,True,False,False,False,False,False,False,False
edge_count_reference,12,True,False,False,False,False,False,False,False
edge_count_candidate,12,True,False,False,False,False,False,False,False
shared_edge_count,9,True,False,False,False,False,False,False,False
edge_reproduction_rate,0.75,True,False,False,False,False,False,False,False
island_count_reference,289,True,False,False,False,False,False,False,False
island_count_candidate,294,True,False,False,False,False,False,False,False
avg_island_similarity_reference,0.038058,True,False,False,False,False,False,False,False
avg_island_similarity_candidate,0.040812,True,False,False,False,False,False,False,False
