reference_probe,variant_probe,run,episode_index,reference_symbol,variant_symbol,reference_family,variant_family,same_symbol,same_family,reference_action,variant_action,same_action,reference_sehen_form_stability,variant_sehen_form_stability,sehen_form_stability_delta,reference_hoeren_energy_tone,variant_hoeren_energy_tone,hoeren_energy_tone_delta,reference_fuehlen_mcm_coherence,variant_fuehlen_mcm_coherence,fuehlen_mcm_coherence_delta,reference_fuehlen_mcm_tension,variant_fuehlen_mcm_tension,fuehlen_mcm_tension_delta,reference_reflection_context_alignment,variant_reflection_context_alignment,reflection_context_alignment_delta,reference_reflection_context_carry,variant_reflection_context_carry,reflection_context_carry_delta,reference_reflection_context_strain,variant_reflection_context_strain,reflection_context_strain_delta,reference_observation_learning_pressure,variant_observation_learning_pressure,observation_learning_pressure_delta,reference_observation_trade_readiness,variant_observation_trade_readiness,observation_trade_readiness_delta,sense_abs_delta_sum,semantic_state,passive_role,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate
25,20,1,0,dio_0x52rrz,dio_0x52rrz,dio_0x52,dio_0x52,1,1,SHORT,SHORT,1,1.0,1.0,0.0,0.070582,0.062875,-0.007707,0.980237,0.982395,0.002158,0.083062,0.075702,-0.00736,0.768418,0.768612,0.000194,0.142959,0.143418,0.000459,0.264821,0.26408,-0.000741,0.538898,0.539188,0.00029,0.0,0.0,0.0,0.018909,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,1,1,dio_1ull2yv,dio_1yvra14,dio_1ull,dio_1yvr,0,0,SHORT,SHORT,1,-1.0,-1.0,0.0,0.10837,0.060568,-0.047802,-0.230344,-0.216959,0.013385,0.104005,0.076257,-0.027748,0.877293,0.876996,-0.000297,0.067273,0.069504,0.002231,0.283924,0.281029,-0.002895,0.215145,0.219586,0.004441,0.0,0.0,0.0,0.098799,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,1,2,dio_15gsl67,dio_15gsl67,dio_15gs,dio_15gs,1,1,SHORT,SHORT,1,-0.333333,-0.333333,0.0,0.41146,0.397511,-0.013949,0.084791,0.088697,0.003906,0.378533,0.367049,-0.011484,0.831613,0.83203,0.000417,0.075778,0.076446,0.000668,0.305665,0.304522,-0.001143,0.318623,0.318684,6.1e-05,0.0,0.0,0.0,0.031628,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,1,3,dio_05k373k,dio_05k373k,dio_05k3,dio_05k3,1,1,LONG,LONG,1,0.0,0.0,0.0,0.391782,0.380156,-0.011626,0.290301,0.293556,0.003255,0.473297,0.468942,-0.004355,0.80091,0.800745,-0.000165,0.08959,0.089665,7.5e-05,0.310696,0.310309,-0.000387,0.410145,0.410093,-5.2e-05,0.0,0.0,0.0,0.019915,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,1,4,dio_0fvj36m,dio_0fvj36m,dio_0fvj,dio_0fvj,1,1,LONG,LONG,1,1.0,1.0,0.0,0.026153,0.030113,0.00396,0.992677,0.991568,-0.001109,0.366009,0.362289,-0.00372,0.731928,0.732261,0.000333,0.139106,0.139216,0.00011,0.290198,0.289851,-0.000347,0.623258,0.622648,-0.00061,0.0,0.0,0.0,0.010189,wiedererkennung_stabil,stabiler_form_feld_kern,1,0,0,0,0
25,20,1,5,dio_1aqjtv9,dio_0u8fyo5,dio_1aqj,dio_0u8f,0,0,LONG,LONG,1,0.0,0.0,0.0,0.019383,-0.029329,-0.048712,0.394573,0.391788,-0.002785,0.33943,0.350145,0.010715,0.802088,0.799842,-0.002246,0.096906,0.097125,0.000219,0.297515,0.298394,0.000879,0.41372,0.419841,0.006121,0.0,0.0,0.0,0.071677,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,1,6,dio_04kxp8v,dio_0nwm8wp,dio_04kx,dio_0nwm,0,0,LONG,SHORT,0,-1.0,-1.0,0.0,-0.043626,-0.060118,-0.016492,-0.212215,-0.216833,-0.004618,0.145314,0.132409,-0.012905,0.873472,0.876605,0.003133,0.066158,0.065642,-0.000516,0.287752,0.286749,-0.001003,0.222222,0.213532,-0.00869,0.0,0.0,0.0,0.047357,neues_praebewusstes_muster,richtungskonflikt_als_beobachtung,1,0,0,0,0
25,20,1,7,dio_1bwys3u,dio_0jhl21k,dio_1bwy,dio_0jhl,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.003998,-0.002608,0.00139,0.39888,0.39927,0.00039,0.272701,0.268654,-0.004047,0.793552,0.795352,0.0018,0.105582,0.105066,-0.000516,0.289809,0.289574,-0.000235,0.450861,0.445385,-0.005476,0.0,0.0,0.0,0.013854,feine_signaturverschiebung,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
25,20,1,8,dio_19mpp0p,dio_0kjneap,dio_19mp,dio_0kjn,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.103193,-0.034073,0.06912,0.371106,0.39046,0.019354,0.397911,0.352843,-0.045068,0.794075,0.795331,0.001256,0.096118,0.098948,0.00283,0.302761,0.298226,-0.004535,0.433069,0.434534,0.001465,0.0,0.0,0.0,0.143628,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_mit_gleicher_richtung,1,0,0,0,0
25,20,1,9,dio_1hs5sz6,dio_0wvpras,dio_1hs5,dio_0wvp,0,0,LONG,LONG,1,-1.0,-1.0,0.0,0.076494,0.090679,0.014185,-0.221418,-0.22539,-0.003972,0.197379,0.203981,0.006602,0.871281,0.871145,-0.000136,0.063332,0.062886,-0.000446,0.292881,0.293554,0.000673,0.22284,0.222478,-0.000362,0.0,0.0,0.0,0.026376,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,1,0,0,0,0
