run,episode_index,probe25_symbol,probe26_symbol,probe25_family,probe26_family,same_symbol,same_family,probe25_action,probe26_action,same_action,probe25_sehen_form_stability,probe26_sehen_form_stability,sehen_form_stability_delta,probe25_hoeren_energy_tone,probe26_hoeren_energy_tone,hoeren_energy_tone_delta,probe25_fuehlen_mcm_coherence,probe26_fuehlen_mcm_coherence,fuehlen_mcm_coherence_delta,probe25_fuehlen_mcm_tension,probe26_fuehlen_mcm_tension,fuehlen_mcm_tension_delta,probe25_reflection_context_alignment,probe26_reflection_context_alignment,reflection_context_alignment_delta,probe25_reflection_context_carry,probe26_reflection_context_carry,reflection_context_carry_delta,probe25_reflection_context_strain,probe26_reflection_context_strain,reflection_context_strain_delta,probe25_observation_learning_pressure,probe26_observation_learning_pressure,observation_learning_pressure_delta,probe25_observation_trade_readiness,probe26_observation_trade_readiness,observation_trade_readiness_delta,sense_abs_delta_sum,variant_state
1,0,dio_0x52rrz,dio_1rv13no,dio_0x52,dio_1rv1,0,0,SHORT,SHORT,1,1.0,1.0,0.0,0.070582,0.060862,-0.00972,0.980237,0.982959,0.002722,0.083062,0.083083,2.1e-05,0.768418,0.76802,-0.000398,0.142959,0.143158,0.000199,0.264821,0.264777,-4.4e-05,0.538898,0.540187,0.001289,0.0,0.0,0.0,0.014393,name_drift_low_sensor_delta
1,1,dio_1ull2yv,dio_1ull2yv,dio_1ull,dio_1ull,1,1,SHORT,SHORT,1,-1.0,-1.0,0.0,0.10837,0.120959,0.012589,-0.230344,-0.233868,-0.003524,0.104005,0.104622,0.000617,0.877293,0.878024,0.000731,0.067273,0.066872,-0.000401,0.283924,0.284065,0.000141,0.215145,0.212676,-0.002469,0.0,0.0,0.0,0.020472,same_family_under_variation
1,2,dio_15gsl67,dio_14c1zmg,dio_15gs,dio_14c1,0,0,SHORT,SHORT,1,-0.333333,-0.333333,0.0,0.41146,0.365332,-0.046128,0.084791,0.097707,0.012916,0.378533,0.356234,-0.022299,0.831613,0.831656,4.3e-05,0.075778,0.077461,0.001683,0.305665,0.303362,-0.002303,0.318623,0.321225,0.002602,0.0,0.0,0.0,0.087974,strong_family_drift
1,3,dio_05k373k,dio_05k373k,dio_05k3,dio_05k3,1,1,LONG,LONG,1,0.0,0.0,0.0,0.391782,0.393728,0.001946,0.290301,0.289756,-0.000545,0.473297,0.470591,-0.002706,0.80091,0.801332,0.000422,0.08959,0.089401,-0.000189,0.310696,0.310506,-0.00019,0.410145,0.408467,-0.001678,0.0,0.0,0.0,0.007676,same_family_under_variation
1,4,dio_0fvj36m,dio_1tszbgb,dio_0fvj,dio_1tsz,0,0,LONG,LONG,1,1.0,1.0,0.0,0.026153,0.025084,-0.001069,0.992677,0.992977,0.0003,0.366009,0.362566,-0.003443,0.731928,0.732212,0.000284,0.139106,0.13923,0.000124,0.290198,0.289871,-0.000327,0.623258,0.62276,-0.000498,0.0,0.0,0.0,0.006045,name_drift_low_sensor_delta
1,5,dio_1aqjtv9,dio_1jbaunv,dio_1aqj,dio_1jba,0,0,LONG,LONG,1,0.0,0.0,0.0,0.019383,0.026012,0.006629,0.394573,0.392717,-0.001856,0.33943,0.344782,0.005352,0.802088,0.800684,-0.001404,0.096906,0.097138,0.000232,0.297515,0.297928,0.000413,0.41372,0.417723,0.004003,0.0,0.0,0.0,0.019889,name_drift_low_sensor_delta
1,6,dio_04kxp8v,dio_0ic5er6,dio_04kx,dio_0ic5,0,0,LONG,SHORT,0,-1.0,-1.0,0.0,-0.043626,-0.034092,0.009534,-0.212215,-0.209546,0.002669,0.145314,0.128454,-0.01686,0.873472,0.875119,0.001647,0.066158,0.066651,0.000493,0.287752,0.286182,-0.00157,0.222222,0.218907,-0.003315,0.0,0.0,0.0,0.036088,controlled_family_drift
1,7,dio_1bwys3u,dio_0s84lnj,dio_1bwy,dio_0s84,0,0,SHORT,SHORT,1,0.0,0.0,0.0,-0.003998,-0.014832,-0.010834,0.39888,0.395847,-0.003033,0.272701,0.262513,-0.010188,0.793552,0.795753,0.002201,0.105582,0.105301,-0.000281,0.289809,0.288988,-0.000821,0.450861,0.4449,-0.005961,0.0,0.0,0.0,0.033319,controlled_family_drift
1,8,dio_19mpp0p,dio_19mpp0p,dio_19mp,dio_19mp,1,1,SHORT,SHORT,1,0.0,0.0,0.0,-0.103193,-0.09978,0.003413,0.371106,0.372062,0.000956,0.397911,0.376867,-0.021044,0.794075,0.795486,0.001411,0.096118,0.097006,0.000888,0.302761,0.30074,-0.002021,0.433069,0.431111,-0.001958,0.0,0.0,0.0,0.031691,same_family_under_variation
1,9,dio_1hs5sz6,dio_1hs5sz6,dio_1hs5,dio_1hs5,1,1,LONG,LONG,1,-1.0,-1.0,0.0,0.076494,0.071732,-0.004762,-0.221418,-0.220085,0.001333,0.197379,0.194834,-0.002545,0.871281,0.871524,0.000243,0.063332,0.063416,8.4e-05,0.292881,0.292642,-0.000239,0.22284,0.222348,-0.000492,0.0,0.0,0.0,0.009698,same_family_under_variation
