tick,timestamp_ms,symbol,symbol_family,passive_world_label,passive_world_observations,passive_world_mean_avg_carry,passive_world_mean_avg_carried_cos,passive_world_best_max_carry,passive_world_best_max_carried_cos,passive_world_positive_carried_cos_count,passive_world_avg_readiness,passive_world_passive_only,passive_inner_awareness_loaded,passive_inner_awareness_state,passive_inner_awareness_direction,passive_inner_awareness_observations,passive_inner_awareness_afterlook,passive_inner_awareness_carry,passive_inner_awareness_world_carry,passive_inner_awareness_passive_only,passive_inner_awareness_is_gate,passive_inner_awareness_is_motoric,passive_inner_awareness_influences_action,passive_inner_awareness_symbol_family,reflection_context_state,reflection_context_carry,reflection_context_strain,reflection_context_alignment,reflection_world_support,reflection_current_support,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,mini_temporal_state,mini_family_age,mini_ticks_since_family_seen,mini_recurrence_strength,mini_afterimage,mini_time_distance,mini_temporal_form_distance,mini_temporal_trust_support,mini_temporal_caution_support,mini_neuro_dominant_tone,mini_focus_tone,mini_trust_tone,mini_caution_tone,mini_strain_tone,mini_relief_tone,mini_observation_tone,mini_neuro_support,mini_neuro_load,mini_neuro_balance,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1768460300000000,dio_0x52rrz,dio_0x52,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0x52,reflection_context_unloaded,0.144236,0.264949,0.764923,0.038452,0.273529,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.739275,0.002524,0.232347,0.160549,0.317786,0.432773,0.361922,0.169663,0.192259,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.15000000,100.15000000,100.15000000,100.15000000,0,100.15000000,0.000000,0.012411,-0.043880,-0.038865,-0.009922,0.004935,0.003513,0.022333,0.048815,0.047777,0.020000,0.019852,0.028815,0.027926,0.000000,0.000000,0.007424,0.000000,0.000000,0.005399,0.000000,0.000000,0.000000,0.000000,0.000000,0.067493,0.000000,0.000000,0.007424,0.007424,0.000000,0.067493,0.007424,0.000000,0.000000,SHORT,0.539941,0.083333,1.000000,0.166667,0.068113,0.228571,0.980928,0.090274,0.132381
2,1768460600000000,dio_1ull2yv,dio_1ull,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1ull,reflection_context_unloaded,0.067251,0.284125,0.876938,0.011873,0.134935,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.285647,0.000992,0.235963,0.167934,0.313751,0.434125,0.233721,0.174356,0.059366,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.01000000,100.01000000,100.01000000,100.01000000,0,100.01000000,0.000000,0.024547,-0.051342,-0.049630,0.002112,-0.001780,-0.001872,0.022434,0.049561,0.049879,0.020000,0.019942,0.029561,0.029938,0.000000,0.000000,0.002917,0.000000,0.000000,0.002122,0.000000,0.000000,0.000000,0.000000,0.000000,0.026521,0.000000,0.000000,0.002917,0.002917,0.000000,0.026521,0.002917,0.000000,0.000000,SHORT,0.212171,0.005556,-1.000000,-0.321989,0.126479,0.228814,-0.235414,0.106973,-0.028404
3,1768460900000000,dio_00o8oot,dio_00o8,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_00o8,reflection_context_unloaded,0.078385,0.302728,0.830476,0.002099,0.171623,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.376627,0.001495,0.285047,0.262896,0.259856,0.433680,0.246332,0.235837,0.010495,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.52000000,99.52000000,99.52000000,99.52000000,0,99.52000000,0.000000,0.021887,-0.051400,-0.049680,-0.000514,-0.001858,-0.003013,0.022401,0.049543,0.049866,0.020000,0.019912,0.029543,0.029954,0.000000,0.000000,0.004398,0.000000,0.000000,0.003199,0.000000,0.000000,0.000000,0.000000,0.000000,0.039985,0.000000,0.000000,0.004398,0.004398,0.000000,0.039985,0.004398,0.000000,0.000000,SHORT,0.319880,-0.266667,-0.333333,-0.550062,0.362859,0.559585,0.098400,0.352411,-0.169431
4,1768461200000000,dio_1paitvg,dio_1pai,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1pai,reflection_context_unloaded,0.091522,0.310206,0.796618,0.000000,0.203382,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.425648,0.003825,0.309669,0.309645,0.233116,0.431625,0.253969,0.266305,-0.012336,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,98.96000000,98.96000000,98.96000000,98.96000000,0,98.96000000,0.000000,0.019762,-0.041187,-0.052030,-0.002485,-0.001235,-0.002687,0.022247,0.048133,0.049343,0.019775,0.020000,0.028358,0.029343,0.000000,0.011250,0.000000,0.000000,0.008182,0.000000,0.000000,0.000000,0.000000,0.000000,0.102273,0.000000,0.000000,0.011250,0.000000,0.011250,0.000000,0.102273,0.011250,0.000000,0.000000,LONG,0.408969,-0.577778,0.000000,-0.447541,0.385532,0.314685,0.292051,0.476197,-0.368028
5,1768461500000000,dio_0fvj36m,dio_0fvj,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0fvj,reflection_context_unloaded,0.144381,0.288374,0.721791,0.019187,0.297396,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.685927,0.008751,0.287722,0.264401,0.258276,0.427278,0.333581,0.237646,0.095936,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,98.78000000,98.78000000,98.78000000,98.78000000,0,98.78000000,0.000000,0.011923,-0.022565,-0.047406,-0.009998,0.003512,0.002082,0.021921,0.044796,0.049488,0.019485,0.020000,0.025311,0.029488,0.000000,0.025739,0.000000,0.000000,0.018719,0.000000,0.000000,0.000000,0.000000,0.000000,0.233989,0.000000,0.000000,0.025739,0.000000,0.025739,0.000000,0.233989,0.025739,0.000000,0.000000,LONG,0.623420,-0.759971,1.000000,0.239543,0.020858,-0.437500,0.994160,0.366275,-0.455593
6,1768461800000000,dio_0q96t2k,dio_0q96,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0q96,reflection_context_unloaded,0.100759,0.296793,0.793527,0.007846,0.214319,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.466093,0.005874,0.283786,0.258189,0.262086,0.429817,0.272536,0.233305,0.039231,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.17000000,99.17000000,99.17000000,99.17000000,0,99.17000000,0.000000,0.018073,-0.033560,-0.050837,-0.004038,0.000570,-0.001113,0.022111,0.046695,0.049724,0.019654,0.020000,0.027040,0.029724,0.000000,0.017277,0.000000,0.000000,0.012565,0.000000,0.000000,0.000000,0.000000,0.000000,0.157062,0.000000,0.000000,0.017277,0.000000,0.017277,0.000000,0.157062,0.017277,0.000000,0.000000,LONG,0.418825,-0.466620,0.000000,0.895924,0.016567,0.167598,0.395361,0.346287,-0.012766
7,1768462100000000,dio_0nwm8wp,dio_0nwm,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0nwm,reflection_context_unloaded,0.068461,0.285614,0.871546,0.010657,0.139111,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.284960,0.003072,0.240374,0.175468,0.309271,0.432290,0.232747,0.179461,0.053286,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.60000000,99.60000000,99.60000000,99.60000000,0,99.60000000,0.000000,0.024051,-0.050934,-0.043727,0.001754,-0.001241,-0.001658,0.022297,0.049693,0.048639,0.020000,0.019819,0.029693,0.028820,0.000000,0.000000,0.009035,0.000000,0.000000,0.006571,0.000000,0.000000,0.000000,0.000000,0.000000,0.082136,0.000000,0.000000,0.009035,0.009035,0.000000,0.082136,0.009035,0.000000,0.000000,SHORT,0.218909,0.044659,-1.000000,0.611323,-0.030246,-0.052219,-0.208469,0.129272,0.161283
8,1768462400000000,dio_0s84lnj,dio_0s84,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0s84,reflection_context_unloaded,0.108548,0.287123,0.790837,0.014424,0.223587,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.484980,0.004183,0.265118,0.222967,0.282227,0.431309,0.282420,0.210298,0.072122,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.93000000,99.93000000,99.93000000,99.93000000,0,99.93000000,0.000000,0.018746,-0.047400,-0.038026,-0.003477,0.002087,0.000574,0.022223,0.049487,0.047548,0.020000,0.019754,0.029487,0.027794,0.000000,0.000000,0.012304,0.000000,0.000000,0.008949,0.000000,0.000000,0.000000,0.000000,0.000000,0.111857,0.000000,0.000000,0.012304,0.012304,0.000000,0.111857,0.012304,0.000000,0.000000,SHORT,0.446466,0.544552,0.000000,0.128686,-0.009412,0.013089,0.397365,0.253255,0.338452
9,1768462700000000,dio_19mpp0p,dio_19mp,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_19mp,reflection_context_unloaded,0.100754,0.299156,0.788783,0.005707,0.216924,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.457352,0.006065,0.289237,0.268752,0.256078,0.429649,0.268674,0.240140,0.028534,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.79000000,99.79000000,99.79000000,99.79000000,0,99.79000000,0.000000,0.019072,-0.047523,-0.033112,-0.003027,0.001988,0.000525,0.022099,0.049511,0.046610,0.020000,0.019643,0.029511,0.026967,0.000000,0.000000,0.017838,0.000000,0.000000,0.012973,0.000000,0.000000,0.000000,0.000000,0.000000,0.162164,0.000000,0.000000,0.017838,0.017838,0.000000,0.162164,0.017838,0.000000,0.000000,SHORT,0.430621,0.568041,0.000000,-0.585198,-0.099073,-0.245665,0.372260,0.373820,0.128523
10,1768463000000000,dio_1hs5sz6,dio_1hs5,probe26_6ep_varianteA,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1hs5,reflection_context_unloaded,0.064380,0.292010,0.870193,0.005967,0.135774,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.270641,0.001722,0.252779,0.200332,0.295308,0.433481,0.225196,0.195362,0.029834,LONG,0.000000,0.000000,0.541667,NO_TRADE,0.000000,0.000000,99.37000000,99.37000000,99.37000000,99.37000000,0,99.37000000,0.000000,0.024479,-0.047820,-0.051958,0.002093,-0.002016,-0.002593,0.022386,0.049488,0.049366,0.019899,0.020000,0.029589,0.029366,0.000000,0.005064,0.000000,0.000000,0.003683,0.000000,0.000000,0.000000,0.000000,0.000000,0.046040,0.000000,0.000000,0.005064,0.000000,0.005064,0.000000,0.046040,0.005064,0.000000,0.000000,LONG,0.220632,0.112041,-1.000000,-0.699066,0.077742,0.305556,-0.221768,0.191560,-0.043922
