tick,timestamp_ms,symbol,symbol_family,passive_world_label,passive_world_observations,passive_world_mean_avg_carry,passive_world_mean_avg_carried_cos,passive_world_best_max_carry,passive_world_best_max_carried_cos,passive_world_positive_carried_cos_count,passive_world_avg_readiness,passive_world_passive_only,passive_inner_awareness_loaded,passive_inner_awareness_state,passive_inner_awareness_direction,passive_inner_awareness_observations,passive_inner_awareness_afterlook,passive_inner_awareness_carry,passive_inner_awareness_world_carry,passive_inner_awareness_passive_only,passive_inner_awareness_is_gate,passive_inner_awareness_is_motoric,passive_inner_awareness_influences_action,passive_inner_awareness_symbol_family,reflection_context_state,reflection_context_carry,reflection_context_strain,reflection_context_alignment,reflection_world_support,reflection_current_support,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,mini_temporal_state,mini_family_age,mini_ticks_since_family_seen,mini_recurrence_strength,mini_afterimage,mini_time_distance,mini_temporal_form_distance,mini_temporal_trust_support,mini_temporal_caution_support,mini_neuro_dominant_tone,mini_focus_tone,mini_trust_tone,mini_caution_tone,mini_strain_tone,mini_relief_tone,mini_observation_tone,mini_neuro_support,mini_neuro_load,mini_neuro_balance,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1769350300000000,dio_1p0thzu,dio_1p0t,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1p0t,reflection_context_unloaded,0.143630,0.264698,0.766810,0.038695,0.271885,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.738747,0.002499,0.231510,0.158755,0.318805,0.432795,0.362015,0.168541,0.193474,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.06000000,100.06000000,100.06000000,100.06000000,0,100.06000000,0.000000,0.012282,-0.037727,-0.046220,-0.010053,0.004505,0.003039,0.022335,0.047577,0.049259,0.019853,0.020000,0.027724,0.029259,0.000000,0.007349,0.000000,0.000000,0.005345,0.000000,0.000000,0.000000,0.000000,0.000000,0.066809,0.000000,0.000000,0.007349,0.000000,0.007349,0.000000,0.066809,0.007349,0.000000,0.000000,LONG,0.534469,-0.055467,1.000000,-0.110934,0.105875,0.392523,0.970355,0.085513,0.020819
2,1769350600000000,dio_1t4c6pn,dio_1t4c,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1t4c,reflection_context_unloaded,0.066737,0.285879,0.875004,0.010488,0.135485,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.281440,0.001010,0.239745,0.175278,0.309584,0.434109,0.231546,0.179105,0.052441,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.24000000,100.24000000,100.24000000,100.24000000,0,100.24000000,0.000000,0.024879,-0.049433,-0.051547,0.002445,-0.001754,-0.002051,0.022433,0.049839,0.049496,0.019941,0.020000,0.029899,0.029496,0.000000,0.002971,0.000000,0.000000,0.002161,0.000000,0.000000,0.000000,0.000000,0.000000,0.027013,0.000000,0.000000,0.002971,0.000000,0.002971,0.000000,0.027013,0.002971,0.000000,0.000000,LONG,0.216107,0.044373,-1.000000,0.310814,0.137070,0.211957,-0.238380,0.125936,0.141836
3,1769350900000000,dio_14sgc4m,dio_14sg,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_14sg,reflection_context_unloaded,0.074328,0.316439,0.834826,0.000000,0.165174,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.339579,0.001481,0.314933,0.321027,0.226897,0.433694,0.228046,0.273402,-0.045356,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.88000000,100.88000000,100.88000000,100.88000000,0,100.88000000,0.000000,0.024464,-0.051933,-0.051118,0.002062,-0.002559,-0.004767,0.022402,0.049374,0.049518,0.020000,0.019913,0.029374,0.029605,0.000000,0.000000,0.004355,0.000000,0.000000,0.003167,0.000000,0.000000,0.000000,0.000000,0.000000,0.039591,0.000000,0.000000,0.004355,0.004355,0.000000,0.039591,0.004355,0.000000,0.000000,SHORT,0.316727,0.399361,-0.333333,0.664935,0.543265,1.000000,0.047886,0.502292,0.583227
4,1769351200000000,dio_1tleyzu,dio_1tle,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1tle,reflection_context_unloaded,0.059193,0.309669,0.868459,0.000000,0.131541,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.219191,0.001092,0.291125,0.275006,0.253030,0.434036,0.200555,0.243598,-0.043043,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.87000000,100.87000000,100.87000000,100.87000000,0,100.87000000,0.000000,0.027187,-0.052163,-0.050924,0.004759,-0.002862,-0.003649,0.022428,0.049301,0.049611,0.020000,0.019936,0.029301,0.029675,0.000000,0.000000,0.003212,0.000000,0.000000,0.002336,0.000000,0.000000,0.000000,0.000000,0.000000,0.029204,0.000000,0.000000,0.003212,0.003212,0.000000,0.029204,0.003212,0.000000,0.000000,SHORT,0.233632,0.393814,-1.000000,-0.277133,0.412829,0.066667,-0.315592,0.383131,0.167358
5,1769351500000000,dio_0tfu6b8,dio_0tfu,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0tfu,reflection_context_unloaded,0.062131,0.293369,0.873755,0.005321,0.131566,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.270236,0.000983,0.254663,0.204291,0.293137,0.434133,0.224458,0.197854,0.026604,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.16000000,100.16000000,100.16000000,100.16000000,0,100.16000000,0.000000,0.025025,-0.050915,-0.048512,0.002590,-0.001215,-0.000956,0.022435,0.049699,0.049658,0.020000,0.019942,0.029699,0.029716,0.000000,0.000000,0.002891,0.000000,0.000000,0.002102,0.000000,0.000000,0.000000,0.000000,0.000000,0.026280,0.000000,0.000000,0.002891,0.002891,0.000000,0.026280,0.002891,0.000000,0.000000,SHORT,0.210241,0.055522,-1.000000,-1.000000,-0.041395,-0.587734,-0.211591,0.200705,-0.326454
6,1769351800000000,dio_0vhw24n,dio_0vhw,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0vhw,reflection_context_unloaded,0.102787,0.286844,0.806302,0.015623,0.209321,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.488258,0.001332,0.261049,0.216461,0.286201,0.433825,0.283889,0.205776,0.078113,LONG,0.000000,0.000000,0.340237,NO_TRADE,0.000000,0.000000,99.66000000,99.66000000,99.66000000,99.66000000,0,99.66000000,0.000000,0.018842,-0.046009,-0.050660,-0.003570,0.000298,-0.000878,0.022412,0.049155,0.049782,0.019922,0.020000,0.029233,0.029782,0.000000,0.003917,0.000000,0.000000,0.002849,0.000000,0.000000,0.000000,0.000000,0.000000,0.035610,0.000000,0.000000,0.003917,0.000000,0.003917,0.000000,0.035610,0.003917,0.000000,0.000000,LONG,0.408624,-0.321451,0.000000,-0.526771,0.031518,0.355030,0.391175,0.232530,-0.235432
7,1769352100000000,dio_00byei8,dio_00by,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_00by,reflection_context_unloaded,0.137654,0.290467,0.735288,0.018533,0.283245,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.685943,0.000401,0.287645,0.268589,0.256738,0.434646,0.332038,0.239371,0.092667,LONG,0.000000,0.000000,0.140374,NO_TRADE,0.000000,0.000000,99.63000000,99.63000000,99.63000000,99.63000000,0,99.63000000,0.000000,0.012991,-0.044971,-0.048431,-0.009482,0.003173,0.001258,0.022473,0.049002,0.049689,0.019976,0.020000,0.029025,0.029689,0.000000,0.001178,0.000000,0.000000,0.000857,0.000000,0.000000,0.000000,0.000000,0.000000,0.010713,0.000000,0.000000,0.001178,0.000000,0.001178,0.000000,0.010713,0.001178,0.000000,0.000000,LONG,0.610541,-0.688387,1.000000,0.415809,-0.023756,-0.026738,0.993348,0.365629,-0.291050
8,1769352400000000,dio_1frvyg1,dio_1frv,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1frv,reflection_context_unloaded,0.143140,0.290844,0.720317,0.017283,0.296966,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.682285,0.003028,0.291797,0.275259,0.252693,0.432329,0.330413,0.244000,0.086414,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.22000000,99.22000000,99.22000000,99.22000000,0,99.22000000,0.000000,0.011988,-0.038044,-0.048365,-0.010312,0.003088,0.001311,0.022300,0.047607,0.049676,0.019822,0.020000,0.027786,0.029676,0.000000,0.008904,0.000000,0.000000,0.006476,0.000000,0.000000,0.000000,0.000000,0.000000,0.080950,0.000000,0.000000,0.008904,0.000000,0.008904,0.000000,0.080950,0.008904,0.000000,0.000000,LONG,0.647600,-0.908760,1.000000,-0.000514,-0.011063,-0.112045,0.996902,0.386408,-0.531438
9,1769352700000000,dio_02ju20g,dio_02ju,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_02ju,reflection_context_unloaded,0.093770,0.291118,0.821560,0.013472,0.191912,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.478866,0.000066,0.266061,0.226839,0.280443,0.434941,0.279698,0.212339,0.067359,SHORT,0.000000,0.000000,0.039432,NO_TRADE,0.000000,0.000000,100.00000000,100.00000000,100.00000000,100.00000000,0,100.00000000,0.000000,0.018716,-0.047652,-0.049089,-0.003780,0.001884,0.000585,0.022496,0.049536,0.049816,0.020000,0.019996,0.029536,0.029819,0.000000,0.000000,0.000195,0.000000,0.000000,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.001773,0.000000,0.000000,0.000195,0.000195,0.000000,0.001773,0.000195,0.000000,0.000000,SHORT,0.359749,-0.088747,0.000000,1.000000,-0.143499,-0.307571,0.359820,0.257543,0.128788
10,1769353000000000,dio_1rcthrn,dio_1rct,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1rct,reflection_context_unloaded,0.070171,0.288257,0.861807,0.007984,0.146177,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.276023,0.001182,0.247020,0.189346,0.301591,0.433957,0.228135,0.188214,0.039921,LONG,0.000000,0.000000,0.441176,NO_TRADE,0.000000,0.000000,100.16000000,100.16000000,100.16000000,100.16000000,0,100.16000000,0.000000,0.024511,-0.048910,-0.051969,0.002090,-0.001710,-0.002607,0.022422,0.049728,0.049362,0.019930,0.020000,0.029797,0.029362,0.000000,0.003475,0.000000,0.000000,0.002527,0.000000,0.000000,0.000000,0.000000,0.000000,0.031593,0.000000,0.000000,0.003475,0.000000,0.003475,0.000000,0.031593,0.003475,0.000000,0.000000,LONG,0.254488,0.278725,-1.000000,0.050183,0.088948,0.419118,-0.224906,0.162452,0.251954
11,1769353300000000,dio_090noz0,dio_090n,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_090n,reflection_context_unloaded,0.067042,0.292229,0.862603,0.005213,0.142610,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.267620,0.001068,0.254569,0.204035,0.293273,0.434057,0.223770,0.197705,0.026065,LONG,0.000000,0.000000,0.439239,NO_TRADE,0.000000,0.000000,100.12000000,100.12000000,100.12000000,100.12000000,0,100.12000000,0.000000,0.024933,-0.049084,-0.051615,0.002504,-0.001602,-0.002141,0.022429,0.049767,0.049474,0.019937,0.020000,0.029830,0.029474,0.000000,0.003143,0.000000,0.000000,0.002286,0.000000,0.000000,0.000000,0.000000,0.000000,0.028569,0.000000,0.000000,0.003143,0.000000,0.003143,0.000000,0.028569,0.003143,0.000000,0.000000,LONG,0.247405,0.273233,-1.000000,-0.242377,0.110973,0.036603,-0.231072,0.200147,0.102161
12,1769353600000000,dio_0k5eg5v,dio_0k5e,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0k5e,reflection_context_unloaded,0.056605,0.313748,0.874211,0.000000,0.125789,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.210863,0.001025,0.299337,0.290938,0.244003,0.434096,0.196047,0.253902,-0.057855,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.84000000,99.84000000,99.84000000,99.84000000,0,99.84000000,0.000000,0.026836,-0.048708,-0.051077,0.004404,-0.001205,-0.001431,0.022432,0.049695,0.049646,0.019940,0.020000,0.029755,0.029646,0.000000,0.003014,0.000000,0.000000,0.002192,0.000000,0.000000,0.000000,0.000000,0.000000,0.027404,0.000000,0.000000,0.003014,0.000000,0.003014,0.000000,0.027404,0.003014,0.000000,0.000000,LONG,0.219230,0.347152,-1.000000,-0.646366,-0.416331,-1.000000,-0.316573,0.424082,-0.160723
13,1769353900000000,dio_14ixzl1,dio_14ix,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_14ix,reflection_context_unloaded,0.066227,0.286756,0.874359,0.009688,0.135329,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.275741,0.002936,0.241771,0.178405,0.307620,0.432410,0.229751,0.181309,0.048441,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.94000000,99.94000000,99.94000000,99.94000000,0,99.94000000,0.000000,0.025488,-0.044734,-0.052105,0.003182,-0.002178,-0.002786,0.022306,0.048836,0.049319,0.019827,0.020000,0.029008,0.029319,0.000000,0.008634,0.000000,0.000000,0.006279,0.000000,0.000000,0.000000,0.000000,0.000000,0.078490,0.000000,0.000000,0.008634,0.000000,0.008634,0.000000,0.078490,0.008634,0.000000,0.000000,LONG,0.209835,-0.033333,-1.000000,0.170400,-0.227324,0.290000,-0.263651,0.136740,0.080229
14,1769354200000000,dio_0w1xyt1,dio_0w1x,probe25_6ep_varianteB,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0w1x,reflection_context_unloaded,0.069212,0.285639,0.868888,0.010212,0.141324,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.279313,0.003190,0.240788,0.176324,0.308774,0.432185,0.231064,0.180003,0.051061,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.95000000,99.95000000,99.95000000,99.95000000,0,99.95000000,0.000000,0.025312,-0.043906,-0.051808,0.003023,-0.002063,-0.002395,0.022289,0.048667,0.049413,0.019812,0.020000,0.028855,0.029413,0.000000,0.009383,0.000000,0.000000,0.006824,0.000000,0.000000,0.000000,0.000000,0.000000,0.085297,0.000000,0.000000,0.009383,0.000000,0.009383,0.000000,0.085297,0.009383,0.000000,0.000000,LONG,0.227505,-0.116480,-1.000000,0.092392,-0.161900,0.063025,-0.245332,0.131703,-0.030450
