tick,timestamp_ms,symbol,symbol_family,passive_world_label,passive_world_observations,passive_world_mean_avg_carry,passive_world_mean_avg_carried_cos,passive_world_best_max_carry,passive_world_best_max_carried_cos,passive_world_positive_carried_cos_count,passive_world_avg_readiness,passive_world_passive_only,passive_inner_awareness_loaded,passive_inner_awareness_state,passive_inner_awareness_direction,passive_inner_awareness_observations,passive_inner_awareness_afterlook,passive_inner_awareness_carry,passive_inner_awareness_world_carry,passive_inner_awareness_passive_only,passive_inner_awareness_is_gate,passive_inner_awareness_is_motoric,passive_inner_awareness_influences_action,passive_inner_awareness_symbol_family,reflection_context_state,reflection_context_carry,reflection_context_strain,reflection_context_alignment,reflection_world_support,reflection_current_support,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,mini_temporal_state,mini_family_age,mini_ticks_since_family_seen,mini_recurrence_strength,mini_afterimage,mini_time_distance,mini_temporal_form_distance,mini_temporal_trust_support,mini_temporal_caution_support,mini_neuro_dominant_tone,mini_focus_tone,mini_trust_tone,mini_caution_tone,mini_strain_tone,mini_relief_tone,mini_observation_tone,mini_neuro_support,mini_neuro_load,mini_neuro_balance,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1770220300000000,dio_0x52rrz,dio_0x52,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0x52,reflection_context_unloaded,0.144582,0.264050,0.765664,0.039131,0.273467,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.741102,0.002519,0.230446,0.156863,0.319877,0.432778,0.362935,0.167279,0.195656,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,120.22000000,120.22000000,120.22000000,120.22000000,0,120.22000000,0.000000,0.012353,-0.043891,-0.038873,-0.009981,0.004926,0.003519,0.022333,0.048817,0.047779,0.020000,0.019852,0.028817,0.027927,0.000000,0.000000,0.007408,0.000000,0.000000,0.005387,0.000000,0.000000,0.000000,0.000000,0.000000,0.067343,0.000000,0.000000,0.007408,0.007408,0.000000,0.067343,0.007408,0.000000,0.000000,SHORT,0.538745,0.069404,1.000000,0.138808,0.070017,0.245614,0.980395,0.080766,0.121303
2,1770220600000000,dio_19sjku3,dio_19sj,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_19sj,reflection_context_unloaded,0.069426,0.281505,0.876231,0.013730,0.137499,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.292052,0.001017,0.231018,0.158384,0.319163,0.434103,0.236817,0.168169,0.068648,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,120.09000000,120.09000000,120.09000000,120.09000000,0,120.09000000,0.000000,0.024329,-0.051072,-0.048941,0.001897,-0.001423,-0.001375,0.022433,0.049648,0.049741,0.020000,0.019940,0.029648,0.029801,0.000000,0.000000,0.002991,0.000000,0.000000,0.002175,0.000000,0.000000,0.000000,0.000000,0.000000,0.027191,0.000000,0.000000,0.002991,0.002991,0.000000,0.027191,0.002991,0.000000,0.000000,SHORT,0.217525,0.009254,-1.000000,-0.258958,0.088346,0.097826,-0.224737,0.082425,-0.037403
3,1770220900000000,dio_04j8e5n,dio_04j8,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_04j8,reflection_context_unloaded,0.074256,0.308543,0.834987,0.000000,0.165013,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.359526,0.001430,0.296382,0.285050,0.247301,0.433738,0.238521,0.250129,-0.011608,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,119.51000000,119.51000000,119.51000000,119.51000000,0,119.51000000,0.000000,0.022663,-0.052211,-0.051026,0.000258,-0.002925,-0.004534,0.022405,0.049286,0.049552,0.020000,0.019916,0.029286,0.029636,0.000000,0.000000,0.004206,0.000000,0.000000,0.003059,0.000000,0.000000,0.000000,0.000000,0.000000,0.038239,0.000000,0.000000,0.004206,0.004206,0.000000,0.038239,0.004206,0.000000,0.000000,SHORT,0.305914,-0.259108,-0.333333,-0.545963,0.507887,1.000000,0.057792,0.409492,-0.076132
4,1770221200000000,dio_0wnz3z5,dio_0wnz,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0wnz,reflection_context_unloaded,0.089461,0.312987,0.801199,0.000000,0.198801,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.418820,0.001893,0.314767,0.320572,0.227114,0.433330,0.250344,0.273138,-0.022794,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,118.81000000,118.81000000,118.81000000,118.81000000,0,118.81000000,0.000000,0.020112,-0.046569,-0.052127,-0.002263,-0.001382,-0.002814,0.022375,0.049236,0.049313,0.019889,0.020000,0.029348,0.029313,0.000000,0.005567,0.000000,0.000000,0.004049,0.000000,0.000000,0.000000,0.000000,0.000000,0.050613,0.000000,0.000000,0.005567,0.000000,0.005567,0.000000,0.050613,0.005567,0.000000,0.000000,LONG,0.404903,-0.582993,0.000000,-0.478147,0.429448,0.239006,0.279755,0.501729,-0.393430
5,1770221500000000,dio_00b7v1b,dio_00b7,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_00b7,reflection_context_unloaded,0.143947,0.287800,0.723967,0.019733,0.295765,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.688733,0.005887,0.285658,0.261939,0.259959,0.429805,0.334367,0.235704,0.098663,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,118.54000000,118.54000000,118.54000000,118.54000000,0,118.54000000,0.000000,0.012052,-0.029857,-0.047081,-0.010058,0.003630,0.002344,0.022110,0.046081,0.049425,0.019654,0.020000,0.026427,0.029425,0.000000,0.017316,0.000000,0.000000,0.012593,0.000000,0.000000,0.000000,0.000000,0.000000,0.157419,0.000000,0.000000,0.017316,0.000000,0.017316,0.000000,0.157419,0.017316,0.000000,0.000000,LONG,0.628429,-0.776354,1.000000,0.183359,-0.001504,-0.569728,0.999579,0.356038,-0.504698
6,1770221800000000,dio_0q96t2k,dio_0q96,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0q96,reflection_context_unloaded,0.099941,0.299313,0.790945,0.005867,0.214922,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.459978,0.005951,0.289191,0.268650,0.256147,0.429749,0.269409,0.240077,0.029333,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,118.97000000,118.97000000,118.97000000,118.97000000,0,118.97000000,0.000000,0.018219,-0.033513,-0.050947,-0.003887,0.000440,-0.001258,0.022106,0.046683,0.049689,0.019650,0.020000,0.027033,0.029689,0.000000,0.017504,0.000000,0.000000,0.012730,0.000000,0.000000,0.000000,0.000000,0.000000,0.159125,0.000000,0.000000,0.017504,0.000000,0.017504,0.000000,0.159125,0.017504,0.000000,0.000000,LONG,0.423658,-0.518130,0.000000,0.883033,-0.034429,0.114679,0.390360,0.373360,-0.055289
7,1770222100000000,dio_0nwm8wp,dio_0nwm,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0nwm,reflection_context_unloaded,0.066329,0.286296,0.875724,0.010405,0.134681,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.283952,0.001295,0.240541,0.176723,0.308737,0.433858,0.232086,0.180062,0.052024,SHORT,0.000000,0.000000,0.445682,NO_TRADE,0.000000,0.000000,119.49000000,119.49000000,119.49000000,119.49000000,0,119.49000000,0.000000,0.024234,-0.051089,-0.048883,0.001819,-0.001447,-0.001936,0.022414,0.049643,0.049717,0.020000,0.019924,0.029643,0.029793,0.000000,0.000000,0.003808,0.000000,0.000000,0.002769,0.000000,0.000000,0.000000,0.000000,0.000000,0.034615,0.000000,0.000000,0.003808,0.003808,0.000000,0.034615,0.003808,0.000000,0.000000,SHORT,0.211774,-0.009297,-1.000000,0.652403,-0.051871,0.027855,-0.214524,0.130075,0.156941
8,1770222400000000,dio_0jhl21k,dio_0jhl,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_0jhl,reflection_context_unloaded,0.105717,0.289951,0.792976,0.012556,0.219580,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.480225,0.002077,0.269826,0.233201,0.276635,0.433167,0.279449,0.216668,0.062781,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,119.99000000,119.99000000,119.99000000,119.99000000,0,119.99000000,0.000000,0.019089,-0.047581,-0.043947,-0.003273,0.001941,0.000338,0.022363,0.049522,0.048728,0.020000,0.019878,0.029522,0.028850,0.000000,0.000000,0.006110,0.000000,0.000000,0.004443,0.000000,0.000000,0.000000,0.000000,0.000000,0.055542,0.000000,0.000000,0.006110,0.006110,0.000000,0.055542,0.006110,0.000000,0.000000,SHORT,0.444339,0.551768,0.000000,0.252873,0.010828,0.021490,0.396968,0.276750,0.373978
9,1770222700000000,dio_19mpp0p,dio_19mp,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_19mp,reflection_context_unloaded,0.101163,0.299352,0.787490,0.005533,0.218043,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.457832,0.006105,0.289908,0.270031,0.255349,0.429613,0.268639,0.240973,0.027666,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,119.79000000,119.79000000,119.79000000,119.79000000,0,119.79000000,0.000000,0.019029,-0.047554,-0.033054,-0.003067,0.001963,0.000485,0.022096,0.049517,0.046598,0.020000,0.019641,0.029517,0.026957,0.000000,0.000000,0.017957,0.000000,0.000000,0.013060,0.000000,0.000000,0.000000,0.000000,0.000000,0.163245,0.000000,0.000000,0.017957,0.017957,0.000000,0.163245,0.017957,0.000000,0.000000,SHORT,0.434228,0.585831,0.000000,-0.636414,-0.069748,-0.240770,0.380471,0.377170,0.127172
10,1770223000000000,dio_1hs5sz6,dio_1hs5,probe22_6ep_varianteC,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,-,NONE,0,0.000000,0.000000,0.000000,0,0,0,0,dio_1hs5,reflection_context_unloaded,0.062021,0.295053,0.870621,0.003800,0.133179,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.264173,0.000331,0.258363,0.211847,0.288918,0.434708,0.221655,0.202655,0.019000,LONG,0.000000,0.000000,0.320122,NO_TRADE,0.000000,0.000000,119.27000000,119.27000000,119.27000000,119.27000000,0,119.27000000,0.000000,0.024799,-0.051088,-0.052134,0.002321,-0.002178,-0.002824,0.022478,0.049617,0.049310,0.019981,0.020000,0.029637,0.029310,0.000000,0.000973,0.000000,0.000000,0.000707,0.000000,0.000000,0.000000,0.000000,0.000000,0.008842,0.000000,0.000000,0.000973,0.000000,0.000973,0.000000,0.008842,0.000973,0.000000,0.000000,LONG,0.220977,0.140091,-1.000000,-0.737455,0.101141,0.312500,-0.228319,0.219310,-0.036038
